otter,relnum,reldate,relweightdate,weightkg,bcindxdate,lengthcm,weightkg
209,1,2/13/2002,2/4/2002,13.4,12/10/2001,97.3,10.85
217,1,5/31/2002,5/31/2002,15.55,3/26/2002,100,13.1
225,1,8/15/2002,8/14/2002,19.3,NA,NA,NA
225,2,8/29/2002,8/29/2002,19.85,NA,NA,NA
225,3,9/18/2002,9/17/2002,20.6,NA,NA,NA
228,1,10/22/2002,10/21/2002,14.8,9/12/2002,98.2,12.45
238,1,5/27/2003,5/24/2003,16,3/12/2003,95,11.55
249,1,9/6/2003,9/6/2003,16.65,7/31/2003,100,15.25
252,1,10/14/2003,10/14/2003,16.7,9/23/2003,102,15.1
269,1,3/2/2004,2/25/2004,14.2,1/14/2004,100,13.05
286,1,10/5/2004,10/5/2004,12.7,9/1/2004,97,12.3
315,1,6/20/2005,6/20/2005,16.3,5/18/2005,98.5,13.2
315,2,7/5/2005,7/5/2005,15.8,5/18/2005,98.5,13.2
327,1,10/17/2005,10/17/2005,13,9/7/2005,92,11.9
327,2,11/14/2005,11/14/2005,14.2,9/7/2005,92,11.9
327,3,12/3/2005,12/3/2005,12.6,9/7/2005,92,11.9
339,1,4/25/2006,4/25/2006,13.9,3/14/2006,95.5,11.8
339,2,6/7/2006,6/5/2006,12.6,3/14/2006,95.5,11.8
339,3,7/5/2006,7/3/2006,14.1,3/14/2006,95.5,11.8
344,1,6/19/2006,6/19/2006,16.9,5/2/2006,103,15.8
353,1,10/7/2006,10/5/2006,14.3,8/16/2006,101,13.1
379,1,8/13/2007,8/13/2007,17.2,5/31/2007,97.2,14.1
379,2,9/21/2007,9/21/2007,18.2,5/31/2007,97.2,14.1
386,1,10/26/2007,10/26/2007,19.4,7/19/2007,102.5,14.8
433,1,10/28/2008,10/28/2008,16.3,10/16/2008,105.9,15.5
451,1,7/20/2009,7/20/2009,20.3,2/26/2009,101.9,13.9
451,2,8/26/2009,8/26/2009,20.9,2/26/2009,101.9,13.9
457,1,12/20/2009,12/17/2009,15.4,7/9/2009,92.1,10.7
457,2,3/12/2010,3/9/2010,17.3,7/9/2009,92.1,10.7
457,3,5/12/2010,5/12/2010,19,7/9/2009,92.1,10.7
466,1,3/26/2010,3/26/2010,22.4,3/1/2010,111.4,20.6
473,1,6/22/2010,6/22/2010,15.6,6/1/2010,103.4,15
475,1,11/2/2010,11/2/2010,20.5,10/7/2010,110.4,18.4
475,2,11/12/2010,11/12/2010,18.4,10/7/2010,110.4,18.4
501,1,5/8/2011,5/8/2011,18,6/2/2011,115.4,17.7
501,2,6/22/2011,6/2/2011,17.7,6/2/2011,115.4,17.7
518,1,12/8/2011,12/8/2011,18.5,10/5/2011,106,16.5
518,2,1/16/2012,1/16/2012,18.6,1/10/2012,111.2,18.5
520,1,10/12/2011,10/12/2011,21.4,10/6/2011,115,20.9
526,1,11/14/2011,11/14/2011,23.3,6/21/2011,104.5,14.8
558,1,8/8/2012,8/6/2012,21.2,6/28/2012,114,20.8
558,2,8/25/2012,8/25/2012,19.6,6/28/2012,114,20.8
587,1,10/2/2012,10/2/2012,15.4,9/26/2012,103.9,15.4
587,2,10/10/2012,10/9/2012,14.5,9/26/2012,103.9,15.4
587,3,11/6/2012,11/6/2012,15.7,9/26/2012,103.9,15.4
595,1,4/17/2013,4/17/2013,17.4,4/3/2013,107.7,16.6
595,2,4/24/2013,4/23/2013,16.4,4/3/2013,107.7,16.6
595,3,5/14/2013,5/14/2013,17.6,4/3/2013,107.7,16.6
595,4,6/11/2013,6/11/2013,17.3,4/3/2013,107.7,16.6
621,1,11/4/2013,11/4/2013,21.1,8/20/2013,104.8,18
621,2,11/13/2013,11/13/2013,20.6,8/20/2013,104.8,18
623,1,3/11/2014,3/11/2014,25.2,4/7/2014,119.8,23.5
623,2,4/30/2014,4/30/2014,25.9,4/7/2014,119.8,23.5
653,1,9/27/2014,9/27/2014,18.1,7/23/2014,104,15
657,1,12/27/2014,12/27/2014,19.1,11/14/2014,111.5,17.7
671,1,4/29/2015,4/29/2015,17,4/9/2015,109.5,16.2
673,1,7/14/2015,7/14/2015,23.2,7/2/2015,119.9,20.4
673,2,7/22/2015,7/22/2015,21.8,7/2/2015,119.9,20.4
673,3,8/26/2015,8/26/2015,21,7/2/2015,119.9,20.4
685,1,9/22/2015,9/22/2015,17,9/14/2015,111.5,16.4
687,1,10/27/2015,10/26/2015,22.8,10/15/2015,117.4,22.5
687,2,12/27/2015,12/27/2015,22.9,12/10/2015,118,21.7
687,3,4/7/2016,4/6/2016,26.9,4/4/2016,124,25.1
687,4,5/12/2016,5/12/2016,25.7,5/9/2016,124.4,25.3
716,1,3/9/2017,3/9/2017,19,2/20/2017,114,17.8
716,2,4/19/2017,4/17/2017,18.3,4/3/2017,114,18.5
716,3,9/4/2017,8/29/2017,19.3,8/29/2017,116.5,19.3
723,1,8/3/2017,8/3/2017,22.3,7/25/2017,122.5,21.4
774,1,2/21/2018,2/15/2018,24.8,2/15/2018,126,24.8
808,1,9/13/2018,9/13/2018,23.4,9/5/2018,121.5,22.7
809,1,9/13/2018,9/13/2018,17.9,9/5/2018,107.5,16.9
