ottername,sex,relnum,relyear,relmonth,relsiteATOS,relage_d,strandage_d,strandsiteATOS
209,m,1,2002,2,383,205,14,754
217,m,1,2002,6,321,205,14,371
225,m,1,2002,8,383,203,14,405
225,m,2,2002,8,383,217,14,405
225,m,3,2002,9,383,237,14,405
228,m,1,2002,10,321,199,28,511
238,m,1,2003,6,321,205,14,252
249,m,1,2003,9,321,210,14,408
252,m,1,2003,10,321,233,21,617
269,m,1,2004,3,321,205,70,807
286,f,1,2004,10,321,200,21,821
315,m,1,2005,6,321,187,3,916
315,m,2,2005,7,321,202,3,916
327,f,1,2005,10,321,210,3,812
327,f,2,2005,11,321,238,3,812
327,f,3,2005,12,321,257,3,812
339,f,1,2006,4,321,210,28,291
339,f,2,2006,6,321,253,28,291
339,f,3,2006,7,321,281,28,291
344,m,1,2006,6,321,218,28,273
353,f,1,2006,10,321,223,42,806
379,f,1,2007,8,321,250,14,380
379,f,2,2007,9,321,289,14,380
386,m,1,2007,10,321,267,21,289
433,f,1,2008,11,321,268,42,467
451,m,1,2009,7,321,303,14,273
451,m,2,2009,8,321,340,14,273
457,f,1,2009,12,321,328,14,427
457,f,2,2010,3,321,410,14,427
457,f,3,2010,5,321,471,14,427
466,m,1,2010,3,321,361,35,812
473,f,1,2010,6,321,280,14,409
475,f,1,2010,11,321,368,1,897
475,f,2,2010,11,321,378,1,897
501,f,1,2011,5,321,335,3,810
501,f,2,2011,6,321,380,3,810
518,f,1,2011,12,321,414,3,723
518,f,2,2012,1,321,453,3,723
520,m,1,2011,10,321,326,42,822
526,m,1,2011,11,321,319,42,916
558,m,1,2012,8,321,360,35,184
558,m,2,2012,8,321,377,35,184
587,f,1,2012,10,321,205,7,920
587,f,2,2012,10,321,213,7,920
587,f,3,2012,11,321,240,7,920
595,f,1,2013,4,321,295,7,806
595,f,2,2013,4,321,302,7,806
595,f,3,2013,5,321,322,7,806
595,f,4,2013,6,321,350,7,806
621,m,1,2013,11,321,309,35,233
621,m,2,2013,11,321,318,35,233
623,m,1,2014,3,321,381,2,823
623,m,2,2014,5,321,431,2,823
653,f,1,2014,9,321,305,42,908
657,f,1,2014,12,321,330,14,387
671,f,1,2015,5,321,308,3,909
673,m,1,2015,7,321,362,3,730
673,m,2,2015,7,321,370,3,730
673,m,3,2015,8,321,405,3,730
685,f,1,2015,9,321,340,42,247
687,m,1,2015,10,321,335,14,808
687,m,2,2015,12,321,396,14,808
687,m,3,2016,4,321,498,14,808
687,m,4,2016,5,321,533,14,808
716,f,1,2017,3,321,508,1,824
716,f,2,2017,4,321,549,1,824
716,f,3,2017,9,385,687,1,824
723,f,1,2017,8,382,563,49,258
774,m,1,2018,2,397,364,35,245
808,m,1,2018,9,422,322,49,426
809,m,1,2018,9,422,271,24,274
