Sea Otter,m/f,surrogate,firstreldate
209,M,Joy,21-Jan-02
217,M,Toola,31-May-02
225,M,Toola,6-Aug-02
228,M,Toola,21-Oct-02
236,F,Joy,27-Jan-03
238,M,Joy,27-May-03
249,M,Toola,6-Sep-03
252,M,Joy,14-Oct-03
269,M,Joy,2-Mar-04
272,F,Toola,6-Jul-04
286,F,Joy,5-Oct-04
294,M,Toola,12-Dec-04
315,M,Joy,23-Jun-05
324,F,Rosa,1-Aug-05
327,F,Toola,17-Oct-05
339,F,Joy,25-Apr-06
344,M,Rosa,19-Jun-06
353,F,Toola,7-Oct-06
371,F,Joy,29-Mar-07
379,F,Rosa,13-Aug-07
386,M,Rosa,26-Oct-07
415,M,Rosa,14-May-08
433,F,Maggie,28-Oct-08
440,M,Rosa,21-Apr-09
451,M,Toola,20-Jul-09
457,F,Joy,20-Dec-09
466,M,Rosa,26-Mar-10
473,F,Mae,22-Jun-10
475,F,Rosa,2-Nov-10
501,F,Toola,8-May-11
505,M,Mae,20-Feb-11
518,F,Joy,8-Dec-11
520,M,Rosa,12-Oct-11
526,M,Mae,14-Nov-11
545,F,Toola,29-Mar-12
558,M,Rosa,8-Aug-12
587,F,Rosa,3-Oct-12
595,F,Mae,17-Apr-13
621,M,Rosa,4-Nov-13
623,M,Abby,11-Mar-14
641,M,457,30-Jan-14
653,F,Kit,27-Sep-14
657,F,Rosa,27-Dec-14
671,F,Abby,29-Apr-15
673,M,Gidget,14-Jul-15
684,F,Clara,27-Jan-16
685,F,Ivy,22-Sep-15
687,M,Kit,27-Oct-15
696,M,Rosa,28-Apr-16
714,F,Gidget,6-Oct-16
716,F,Abby,9-Mar-17
723,F,Ivy,3-Aug-17
729,M,Kit,9-Jun-17
736,F,Gidget,27-Nov-17
774,M,Selka,21-Feb-18
783,F,Ivy,21-Feb-18
808,M,Rosa,13-Sep-18
809,M,Abby,13-Sep-18
