seaotter,release,date,time,area,fix_type,fix_qual,latitude,longitude,notes,,,,,
209,1,2/13/2002,13:15,ope,b,0.5,36.631694,-121.920116,Release from diver near Otter Pt.,,,,,
209,1,2/15/2002,15:00,ppw,a,1,36.638424,-121.943221,Pt. Pinos West,,,,,
209,1,2/16/2002,11:30,fodu,a,1,36.661866,-121.828647,"Stillwell Hall, Ft. Ord",,,,,
209,1,2/18/2002,11:30,masb,r,2,36.704160,-121.818140,"Reservation Rd, 1km offshore. 13:30-15:30: feeding inshore on Emerita, sand dollars, clams",,,,,
209,1,2/19/2002,10:45,masb,b,0.5,36.700380,-121.816490,"Marina SB, 600m offshore",,,,,
209,1,2/20/2002,12:00,masb,r,1,36.699996,-121.817341,"Reservation Rd., resting offshore",,,,,
209,1,2/23/2002,13:55,masb,r,1,36.683945,-121.820442,"Sewage Treatment Plant, south Marina SB",,,,,
209,1,2/26/2002,10:20,zusb,a,1,36.842847,-121.812546,Pajaro River mouth,,,,,
209,1,2/27/2002,11:00,susb,b,0.5,36.889877,-121.841920,Sunset SB. 11:00-13:00: foraging 500m offshore,,,,,2/2/2003
209,1,2/28/2002,10:20,masb,a,1,36.714000,-121.811820,"Very Active
Sand Plan Area
UTM:  605465, 4064042",,,,,
209,1,3/1/2002,12:00,susb,a,3,36.886279,-121.836793,"BW, 209 at Sunset State Beach, est. time",,,,,
209,1,3/9/2002,14:05,susb,a,1,36.905710,-121.851400,"Monterey Bay Academy
UTM:  602947, 4083227",,,,,
209,1,3/13/2002,16:00,susb,a,1,36.912040,-121.855410,".5 N of Monterey Bay Acad.
UTM:  301203, 4065414",,,,,
209,1,3/15/2002,11:42,susb,r,3,36.905250,-121.846720,weak signal parallel beach toward Manressa,,,,,
209,1,4/7/2002,12:00,susb,a,1,36.907510,-121.883600,"2sm W of Monterey Bay Academy
UTM:  599649, 4084218",,,,,
209,1,4/11/2002,11:23,susb,a,1,36.898020,-121.852800,"Monterey Bay Acad.
UTM:  602159, 4084145",,,,,
209,1,4/19/2002,14:08,susb,a,1,36.889970,-121.886400,"3 W of Monterey Bay Acad.
UTM:  599251, 4083286",,,,,
209,1,5/5/2002,17:58,susb,a,1,36.888083,-121.886400,"Sunset Beach
UTM:  603388, 4082939",,,,,
209,1,6/29/2002,12:00,susb,a,1,36.914117,-121.871550,"Sunset Beach Area
UTM:  600528, 4085911",,,,,
217,1,5/31/2002,10:34,els,b,0.5,36.81592,-121.766534,released at Seal Bend,,,,,
217,1,6/1/2002,14:15,els,b,0.5,36.811935,-121.77913,travelling between Charlie's property and East Seal Bend,,,,,
217,1,6/2/2002,16:30,els,b,0.5,36.815835,-121.768809,"returned to Seal Bend, got 1 3 paw size crab, other smaller unident. Items. Energy level good",,,,,
217,1,6/3/2002,11:00,els,b,0.5,36.812749,-121.778722,"foraging, brought up a huge cancer crab an numerous shore crabs",,,,,
217,1,6/4/2002,13:00,els,b,0.5,36.809949,-121.784988,foraging on MU near the highway 1 bridge. Looks good.,,,,,
217,1,6/6/2002,8:20,sssb,a,1,36.948489,-121.894514,"Seascape, 3/4 mile offshore, active",,,,,
217,1,6/7/2002,11:45,sssb,b,1,36.95165,-121.924556,"visuals on him resting offshore, boat tried to sneak up on him, but he tood off. 2 miles offshore between seascape and cement ship",,,,,
217,1,6/9/2002,20:00,mlsb,a,1,36.812083,-121.792989,Bob found 217 active close to shore between Moss Landing/Jetty road off slough.,,,,,
217,1,6/10/2002,16:06,mlsb,b,0.5,36.813050,-121.800967,"foraging north of ML jetty, could see one or. tag and signal matched all movements.  too far with glare to see any body condition details.",,,,,
217,1,6/11/2002,17:50,mbari,b,0.5,36.803540,-121.791985,1 hour of successful foraging near MBARI,,,,,
217,1,6/12/2002,9:41,mlsb,b,0.5,36.810567,-121.792233,"MLSB, sucessfully foraging on small unidenified objects.",,,,,
217,1,6/12/2002,11:40,zmsb,b,0.5,36.835767,-121.804683,Zmudowski SB,,,,,
217,1,6/13/2002,9:45,mlsb,b,0.5,36.815217,-121.793683,"MLSB, body temp = 39.1C",,,,,
217,1,6/14/2002,10:44,zmsb,b,0.5,36.832267,-121.805900,"Too far to see tags, but pretty sure it is him.  drifting back toward mosslanding.",,,,,
217,1,6/14/2002,11:27,mlsb,v,0.5,36.824683,-121.799833,Temp. went from 38.9 to 38.4,,,,,
217,1,6/14/2002,11:47,mlsb,v,0.5,36.818750,-121.797417,Once temp. got to 38.4 he began to forage.,,,,,
217,1,6/23/2002,9:48,zmsb,b,0.5,36.833967,-121.807350,Radio signal very poor despite hoe calm it is.,,,,,
217,1,6/30/2002,17:25,mlsb,r,3,36.818417,-121.808983,"Quite far offshore, only sporadic signal.  probably foraging.",,,,,
225,1,8/15/2002,13:50,berwk,b,0.5,36.622848,-121.909860,left swimmer at Berwick park,,,,,
225,1,8/17/2002,16:00,nmb,a,1,36.842775,-121.985949,"travelling signal, 6 miles south of Soquel Poing",,,,,
225,1,8/19/2002,18:30,nmb,b,0.5,37.095642,-122.392534,"travelling, recaptured by boat, 6 miles offshore (180') from Pigeon Point lighthouse",,,,,
225,2,8/29/2002,15:50,berwk,b,0.5,36.623924,-121.913633,left swimmer to interact with 198,,,,,
225,2,9/2/2002,8:15,nmb,a,1,36.877560,-121.918290,2.5 miles south of Capitola Pier,,,,,
225,2,9/2/2002,14:00,nmb,r,1,36.900032,-121.927210,"signal by boat, 4 miles southwest of Capitola",,,,,
225,2,9/2/2002,15:50,nmb,b,0.5,36.925452,-121.995320,captured 2 miles southeast of Santa Cruz harbor,,,,,
225,3,9/18/2002,13:00,berwk,b,0.5,36.621877,-121.907220,"released from swimmer near Berwick park, interacting with 198",,,,,
225,3,9/19/2002,9:55,srsb,a,1,36.738609,-121.8218614,1 mile SW Salinas River mouth,,,,,
225,3,9/20/2002,11:00,sssb,a,1,36.875638,-121.8677819,1 mile offshore Sunset State beach,,,,,
225,3,9/23/2002,10:30,nmb,a,1,36.856483,-122.1069509,7 miles south of Terrace Point,,,,,
225,3,9/24/2002,9:50,dav,a,1,36.979795,-122.1789929,"3 miles SE of Davenport, 500m offshore resting",,,,,
225,3,9/24/2002,14:50,shb,b,0.5,36.971822,-122.1463862,Sand Hill Bluff,,,,,
225,3,9/26/2002,14:28,dav,a,3,37.006664,-122.197232,Davenport resting with a raft of otters,,,,,
225,3,9/27/2002,15:45,wdc,b,0.5,37.040665,-122.2783144,"Waddell Creek, just south of Ano Nuevo, captured, weighed and released from boat (JA)",,,,,
225,3,11/3/2002,12:00,ani,a,1,37.102576,-122.329377,0.5mi SE Ano Nuevo Is,,,,,
225,3,11/5/2002,12:00,ani,r,3,37.102702,-122.329239,S side of Ano Nuevo Is,,,,,
228,1,10/22/2002,10:55,els,b,0.5,36.813652,-121.757524,released above Moon Glow Dairy farm in Elkhorn Slough,,,,,
228,1,10/27/2002,17:20,scrk,a,1,37.049000,-122.243417,China Ladder area,,,,,
228,1,10/28/2002,10:40,ghrk,b,0.5,37.082558,-122.271962,Foraging successfully on Cancer crabs at Greyhound rock,,,,,
228,1,10/29/2002,13:00,ani,b,0.5,37.116902,-122.312250,Observed him eat 1 large Cancer crab (3B),,,,,
228,1,10/30/2002,9:30,ani,b,0.5,37.087024,-122.277770,"Waddell Creek, resting",,,,,
