seaotter,releasenum,days_since_rel,fix_type,fix_qual,latitude,longitude,,
209,1,0,b,0.5,36.631694,-121.920116,,
209,1,2.072916667,a,1,36.638424,-121.943221,,
209,1,2.927083333,a,1,36.661866,-121.828647,,
209,1,4.927083333,r,2,36.70416,-121.81814,,
209,1,5.895833333,b,0.5,36.70038,-121.81649,,
209,1,6.947916667,r,1,36.699996,-121.817341,,
209,1,10.02777778,r,1,36.683945,-121.820442,,
209,1,12.87847222,a,1,36.842847,-121.812546,,
209,1,13.90625,b,0.5,36.889877,-121.84192,,
209,1,14.87847222,a,1,36.714,-121.81182,,
209,1,15.94791667,a,3,36.886279,-121.836793,,
209,1,24.03472222,a,1,36.90571,-121.8514,,
209,1,28.11458333,a,1,36.91204,-121.85541,,
209,1,29.93541667,r,3,36.90525,-121.84672,,
209,1,52.94791667,a,1,36.90751,-121.8836,,
209,1,56.92222222,a,1,36.89802,-121.8528,,
209,1,65.03680556,a,1,36.88997,-121.8864,,
209,1,81.19652778,a,1,36.888083,-121.8864,,
209,1,135.9479167,a,1,36.914117,-121.87155,,
217,1,0,b,0.5,36.81592,-121.766534,,
217,1,1.153472222,b,0.5,36.811935,-121.77913,,
217,1,2.247222222,b,0.5,36.815835,-121.768809,,
217,1,3.018055556,b,0.5,36.812749,-121.778722,,
217,1,4.101388889,b,0.5,36.809949,-121.784988,,
217,1,5.906944444,a,1,36.948489,-121.894514,,
217,1,7.049305556,b,1,36.95165,-121.924556,,
217,1,9.393055556,a,1,36.812083,-121.792989,,
217,1,10.23055556,b,0.5,36.81305,-121.800967,,
217,1,11.30277778,b,0.5,36.80354,-121.791985,,
217,1,11.96319444,b,0.5,36.810567,-121.792233,,
217,1,12.04583333,b,0.5,36.835767,-121.804683,,
217,1,12.96597222,b,0.5,36.815217,-121.793683,,
217,1,14.00694444,b,0.5,36.832267,-121.8059,,
217,1,14.03680556,v,0.5,36.824683,-121.799833,,
217,1,14.05069444,v,0.5,36.81875,-121.797417,,
217,1,22.96805556,b,0.5,36.833967,-121.80735,,
217,1,30.28541667,r,3,36.818417,-121.808983,,
225,1,0,b,0.5,36.622848,-121.90986,,
225,1,2.090277778,a,1,36.842775,-121.985949,,
225,1,4.194444444,b,0.5,37.095642,-122.392534,,
225,2,0,b,0.5,36.623924,-121.913633,,
225,2,3.684027778,a,1,36.87756,-121.91829,,
225,2,3.923611111,r,1,36.900032,-121.92721,,
225,2,4,b,0.5,36.925452,-121.99532,,
225,3,0,b,0.5,36.621877,-121.90722,,
225,3,0.871527778,a,1,36.738609,-121.8218614,,
225,3,1.916666667,a,1,36.875638,-121.8677819,,
225,3,4.895833333,a,1,36.856483,-122.1069509,,
225,3,5.868055556,a,1,36.979795,-122.1789929,,
225,3,6.076388889,b,0.5,36.971822,-122.1463862,,
225,3,8.061111111,a,3,37.006664,-122.197232,,
225,3,9.114583333,b,0.5,37.040665,-122.2783144,,
225,3,45.95833333,a,1,37.102576,-122.329377,,
225,3,47.95833333,r,3,37.102702,-122.329239,,
228,1,0,b,0.5,36.813652,-121.757524,,
228,1,5.267361111,a,1,37.049,-122.243417,,
228,1,5.989583333,b,0.5,37.082558,-122.271962,,
228,1,7.086805556,b,0.5,37.116902,-122.31225,,
228,1,7.940972222,b,0.5,37.087024,-122.27777,,
228,1,9.128472222,b,0.5,37.097425,-122.288077,,
228,1,9.961805556,r,2,37.098539,-122.287185,,
228,1,11.00347222,r,2,37.084342,-122.277774,,
228,1,12.08680556,r,2,37.094268,-122.292249,,
228,1,14.10763889,r,2,37.0933,-122.297983,,
238,1,0,b,0.5,36.814149,-121.756511,,
