YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00 142  2.2  2.8  2.13 12.50  8.57 274 1019.8  11.8  11.7  11.5 99.0 99.00
2002 01 01 01 139  3.1  4.3  2.28 12.50  8.85 268 1019.2  11.4  11.7  11.2 99.0 99.00
2002 01 01 02  88  4.7  6.4  2.66 12.50  9.42 274 1018.6  11.4  11.7  11.2 99.0 99.00
2002 01 01 03  82  6.1  8.7  2.66 12.50  9.28 274 1017.9  11.5  11.7  11.5 99.0 99.00
2002 01 01 04 109  2.9  4.4  2.48 12.50  9.31 271 1018.4  11.8  11.7  11.6 99.0 99.00
2002 01 01 05 211  4.4  5.5  3.17 12.50  9.91 280 1019.3  11.9  11.6  11.8 99.0 99.00
2002 01 01 06 156  2.2  2.8  3.05 12.50  9.87 278 1019.0  12.1  11.6  11.9 99.0 99.00
2002 01 01 07 133  3.8  4.9  2.78 12.50  9.85 271 1019.0  12.1  11.6  12.0 99.0 99.00
2002 01 01 08 110  5.5  6.9  3.00 14.29 10.30 272 1017.9  11.9  11.7  11.8 99.0 99.00
2002 01 01 09  98  4.6  6.1  2.56 12.50  9.75 268 1018.0  11.8  11.7  11.6 99.0 99.00
2002 01 01 10 101  5.1  6.6  2.67 12.50 10.05 264 1017.8  12.0  11.7  11.8 99.0 99.00
2002 01 01 11  92  5.2  6.6  2.71 12.50 10.17 263 1017.3  12.1  11.8  11.8 99.0 99.00
2002 01 01 12 103  4.1  5.2  2.29 12.50  9.43 260 1016.9  12.2  11.8  11.9 99.0 99.00
2002 01 01 13  83  4.1  6.5  2.29 12.50 10.08 265 1016.6  12.3  11.7  11.8 99.0 99.00
2002 01 01 14 115  3.8  4.9  2.27 12.50  9.40 252 1017.2  12.2  11.8  12.0 99.0 99.00
2002 01 01 15 129  5.4  6.5  2.37 20.00 10.12 290 1016.8  12.6  11.7  12.1 99.0 99.00
2002 01 01 16 145  6.8  8.1  2.17 12.50  9.18 260 1017.0  12.5  11.7  12.4 99.0 99.00
2002 01 01 17 145  9.2 10.8  2.17 12.50  7.70 256 1017.5  12.6  11.8  12.3 99.0 99.00
2002 01 01 18 138 10.0 11.6  2.21 12.50  6.53 272 1017.7  12.6  11.8  12.3 99.0 99.00
2002 01 01 19 140  9.6 11.9  2.28 11.11  6.68 260 1017.6  12.6  11.8  12.2 99.0 99.00
2002 01 01 20 145  9.8 12.0  2.24 12.50  6.31 268 1017.4  12.7  11.8  12.3 99.0 99.00
2002 01 01 21 146 10.1 12.1  2.46 12.50  6.54 270 1016.9  12.7  11.9  12.1 99.0 99.00
2002 01 01 22 136 10.1 12.1  2.75 16.67  7.28 291 1016.1  12.6  11.9  12.1 99.0 99.00
2002 01 01 23 131 10.8 13.0  2.62 11.11  6.86 262 1015.7  12.7  11.7  12.1 99.0 99.00
2002 01 02 00 142  9.8 12.1  2.57 11.11  6.57 268 1015.8  12.9  11.6  12.1 99.0 99.00
2002 01 02 01 141 10.7 13.0  2.92 16.67  7.09 299 1015.7  12.9  11.6  12.0 99.0 99.00
2002 01 02 02 138  9.6 11.6  3.04 16.67  7.32 294 1015.7  13.1  11.6  11.9 99.0 99.00
2002 01 02 03 138  9.5 11.6  2.85 16.67  7.48 297 1015.7  13.0  11.6  12.2 99.0 99.00
2002 01 02 04 145 10.1 12.3  3.06 16.67  7.45 299 1015.7  13.3  11.6  12.4 99.0 99.00
2002 01 02 05 139 10.6 13.0  3.07 11.11  7.37 263 1015.1  13.2  11.7  12.6 99.0 99.00
2002 01 02 06 144 10.9 13.2  3.30 16.67  7.39 288 1014.9  13.4  11.7  12.7 99.0 99.00
2002 01 02 07 145 11.7 13.7  3.19 11.11  7.02 269 1014.6  13.4  11.7  12.8 99.0 99.00
2002 01 02 08 147 10.1 12.1  3.42 11.11  7.42 262 1014.9  13.1  11.7  12.9 99.0 99.00
2002 01 02 09 146 11.3 13.8  3.09 16.67  7.34 285 1014.8  13.0  11.7  12.9 99.0 99.00
