YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 271  3.0  4.1  2.08 20.00  9.10 293 1014.4  12.8  12.9 999.0 99.0 99.00
2004 01 01 01 295  1.4  2.3  2.00 20.00  9.54 291 1014.7  12.4  12.9 999.0 99.0 99.00
2004 01 01 02 302  0.4  1.3  2.12 20.00  9.83 295 1014.8  12.1  12.9 999.0 99.0 99.00
2004 01 01 03 203  1.0  1.7  2.36 20.00 11.01 292 1014.6  12.1  12.9 999.0 99.0 99.00
2004 01 01 04 203  3.3  4.0  2.62 20.00 11.57 292 1015.0  12.5  12.9 999.0 99.0 99.00
2004 01 01 05 204  4.0  4.8  2.76 20.00 11.81 295 1015.7  12.6  12.9 999.0 99.0 99.00
2004 01 01 06 191  4.9  6.0  2.51 20.00 11.26 290 1015.7  12.6  12.9 999.0 99.0 99.00
2004 01 01 07 184  6.4  8.1  3.12 20.00 12.29 288 1015.1  12.8  12.9 999.0 99.0 99.00
2004 01 01 08 177  7.1  8.3  3.29 16.67 12.11 289 1014.6  12.8  12.9 999.0 99.0 99.00
2004 01 01 09 161  8.7 11.0  3.20 16.67 10.99 290 1013.5  12.8  12.9 999.0 99.0 99.00
2004 01 01 10 172  9.1 10.8  2.94 16.67  9.55 287 1014.2  12.8  12.9 999.0 99.0 99.00
2004 01 01 11 170  9.0 10.7  2.88 16.67  9.17 288 1014.5  13.3  12.9 999.0 99.0 99.00
2004 01 01 12 176  9.9 11.8  2.86 16.67  8.13 281 1013.9  13.0  12.9 999.0 99.0 99.00
2004 01 01 13 175 10.9 13.7  2.59 16.67  6.89 284 1012.8  12.9  12.9 999.0 99.0 99.00
2004 01 01 14 169 12.7 16.1  3.01 16.67  7.63 291 1012.4  12.6  12.9 999.0 99.0 99.00
2004 01 01 15 182 11.8 14.3  3.24 16.67  7.22 292 1013.1  12.6  12.9 999.0 99.0 99.00
2004 01 01 16 178 12.5 16.2  3.00 16.67  6.65 295 1012.9  12.7  12.9 999.0 99.0 99.00
2004 01 01 17 167 14.6 17.2  3.56 14.29  6.68 289 1012.8  12.6  12.9 999.0 99.0 99.00
2004 01 01 18 170 15.4 19.7  3.54 14.29  6.59 285 1012.9  12.5  12.9 999.0 99.0 99.00
2004 01 01 19 190 14.7 18.1  3.42 14.29  6.70 285 1013.6  12.4  12.9 999.0 99.0 99.00
2004 01 01 20 191 12.9 15.9  3.76  6.67  6.87 190 1013.1  12.6  12.9 999.0 99.0 99.00
2004 01 01 21 273  8.7 13.0  4.36 14.29  7.54 283 1013.6  12.2  12.9 999.0 99.0 99.00
2004 01 01 22 299  7.3 10.3  3.84 16.67  7.41 293 1014.5  12.0  12.9 999.0 99.0 99.00
2004 01 01 23 326  4.3  5.7  3.84 14.29  7.76 299 1014.8  12.6  12.9 999.0 99.0 99.00
2004 01 02 00 303  3.9  5.1  3.33 12.50  7.40 300 1015.4  12.6  12.9 999.0 99.0 99.00
2004 01 02 01 290  3.9  5.6  3.28 14.29  7.67 300 1015.9  12.6  12.9 999.0 99.0 99.00
2004 01 02 02 289  4.2  5.6  3.29 14.29  8.06 300 1016.5  12.6  12.9 999.0 99.0 99.00
2004 01 02 03 297  5.5  6.9  3.68 11.11  8.74 292 1017.0  12.5  12.9 999.0 99.0 99.00
2004 01 02 04 308  4.2  5.4  3.48 12.50  9.08 296 1017.4  12.2  12.8 999.0 99.0 99.00
2004 01 02 05 313  3.6  4.9  3.51 14.29  9.09 290 1017.9  12.1  12.9 999.0 99.0 99.00
2004 01 02 06 325  3.5  4.6  3.25 12.50  8.60 290 1018.1  12.0  12.9 999.0 99.0 99.00
2004 01 02 07 343  3.9  5.1  3.34 14.29  8.76 293 1018.6  11.8  12.9 999.0 99.0 99.00
2004 01 02 08 352  3.4  4.4  3.51 14.29  9.08 291 1018.3  11.8  12.9 999.0 99.0 99.00
2004 01 02 09   8  1.8  3.2  3.18 14.29  8.24 294 1018.1  11.4  12.9 999.0 99.0 99.00
2004 01 02 10   8  2.5  3.3  3.24 14.29  8.35 291 1018.4  11.3  12.9 999.0 99.0 99.00
2004 01 02 11  56  1.3  2.9  3.07 11.11  8.34 285 1018.3  11.3  12.9 999.0 99.0 99.00
2004 01 02 12 109  1.3  3.4  3.50 12.50  8.73 289 1018.1  11.3  12.8 999.0 99.0 99.00
2004 01 02 13 154  1.2  2.5  3.16 11.11  8.42 285 1017.8  11.3  12.8 999.0 99.0 99.00
2004 01 02 14  79  2.2  4.3  3.72 12.50  8.89 287 1017.6  10.7  12.8 999.0 99.0 99.00
2004 01 02 15 102  3.8  6.1  3.62 11.11  8.87 292 1017.6  10.3  12.8 999.0 99.0 99.00
2004 01 02 16 107  3.8  5.6  3.62 11.11  8.92 291 1017.8  10.9  12.8 999.0 99.0 99.00
2004 01 02 17 128  3.8  5.6  3.22 11.11  8.32 288 1018.1  11.3  12.9 999.0 99.0 99.00
2004 01 02 18 217  3.7  4.8  2.92 11.11  7.82 283 1018.8  11.2  12.9 999.0 99.0 99.00
2004 01 02 19 219  3.7  4.9  3.11 11.11  8.38 289 1018.6  11.8  12.9 999.0 99.0 99.00
2004 01 02 20 270  4.0  5.3  2.99 11.11  8.40 288 1017.7  11.2  12.9 999.0 99.0 99.00
2004 01 02 21 255  4.8  6.9  2.64 10.00  8.00 289 1016.9  11.4  12.9 999.0 99.0 99.00
2004 01 02 22 239  7.0  8.4  3.00 10.00  8.35 285 1016.6  10.2  12.9 999.0 99.0 99.00
2004 01 02 23 230  5.4  6.4  2.88 11.11  8.22 290 1016.5  11.0  12.9 999.0 99.0 99.00
2004 01 03 00 251  5.6  7.0  2.45 12.50  7.84 293 1016.5  10.9  12.9 999.0 99.0 99.00
2004 01 03 01 328  7.7  9.5  2.39 11.11  7.90 294 1016.5  10.2  12.9 999.0 99.0 99.00
2004 01 03 02 292  8.2  9.4  2.49 14.29  8.10 298 1016.7  10.7  12.9 999.0 99.0 99.00
