YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 303  3.7  4.8  4.27 13.79  8.16 294 1010.5  13.8  13.2 999.0 99.0 99.00
2006 01 01 01 00 247  2.6  4.0  5.03 12.90  9.06 287 1011.3  13.5  13.2 999.0 99.0 99.00
2006 01 01 02 00 210  2.0  2.9  4.87 12.12  9.14 286 1011.6  13.2  13.2 999.0 99.0 99.00
2006 01 01 03 00 202  2.1  3.2  4.45 12.90  8.89 288 1012.2  13.3  13.2 999.0 99.0 99.00
2006 01 01 04 00 148  2.3  3.8  4.64 13.79  9.23 282 1012.7  13.2  13.2 999.0 99.0 99.00
2006 01 01 05 00 144  3.5  5.6  4.52 13.79  9.21 280 1013.2  13.3  13.2 999.0 99.0 99.00
2006 01 01 06 00 161  4.7  6.2  4.36 13.79  9.20 277 1013.5  13.3  13.2 999.0 99.0 99.00
2006 01 01 07 00 153  6.1  8.2  4.14 12.90  8.98 275 1013.5  13.2  13.2 999.0 99.0 99.00
2006 01 01 08 00 153  6.0  7.6  3.80 12.90  8.81 284 1013.0  13.2  13.3 999.0 99.0 99.00
2006 01 01 09 00 152  6.6  8.6  4.09 13.79  9.30 263 1012.2  13.0  13.3 999.0 99.0 99.00
2006 01 01 10 00 153  6.3  8.9  3.76 12.90  8.94 263 1012.3  13.1  13.2 999.0 99.0 99.00
2006 01 01 11 00 157  7.4  9.7  3.79 12.90  8.73 269 1011.7  13.3  13.2 999.0 99.0 99.00
2006 01 01 12 00 154  9.2 10.9  3.42 12.90  8.28 266 1009.9  13.4  13.2 999.0 99.0 99.00
2006 01 01 13 00 153  8.9 11.0  3.74 12.90  8.51 272 1009.0  13.5  13.2 999.0 99.0 99.00
2006 01 01 14 00 159 11.5 99.0 99.00 99.00 99.00 999 1008.6  13.5 999.0 999.0 99.0 99.00
2006 01 01 15 00 155 14.7 99.0  3.79 12.90  7.86 276 9999.0  13.4 999.0 999.0 99.0 99.00
2006 01 01 16 00 156 14.0 17.5  3.61 11.43  7.30 279 1007.2  13.5  13.1 999.0 99.0 99.00
2006 01 01 17 00 160 14.8 18.8 99.00 99.00 99.00 999 1007.2  13.1  13.0 999.0 99.0 99.00
2006 01 01 18 00 150 18.1 21.8  4.09 12.90  7.14 269 1005.0  13.3  13.0 999.0 99.0 99.00
2006 01 01 19 00 156 15.9 19.9  4.14 12.90  7.10 263 1006.0  13.5  13.0 999.0 99.0 99.00
2006 01 01 20 00 155 17.8 22.2 99.00 99.00 99.00 999 1003.9  13.3  13.0 999.0 99.0 99.00
2006 01 01 21 00 150 17.1 22.3 99.00 99.00 99.00 999 1002.5  13.2  13.0 999.0 99.0 99.00
2006 01 01 22 00 156 17.6 23.5  4.34  7.69  6.93 153 1001.6  13.3  13.1 999.0 99.0 99.00
2006 01 01 23 00 162 20.0 24.0  4.64  8.33  6.85 153  999.8  13.4  13.2 999.0 99.0 99.00
2006 01 02 00 00 161 18.9 24.2  5.53  8.33  7.43 161  999.9  13.1  13.2 999.0 99.0 99.00
2006 01 02 01 00 158 18.3 23.6  5.36  9.09  7.71 174 1000.5  13.6  13.3 999.0 99.0 99.00
2006 01 02 02 00 160 15.7 20.3  5.41  9.09  7.54 179 1000.6  13.3  13.3 999.0 99.0 99.00
2006 01 02 03 00 203 12.0 15.5  4.89 13.79  7.66 274 1001.9  13.6  13.3 999.0 99.0 99.00
2006 01 02 04 00 208  4.9  6.2  4.72  9.09  7.97 169 1002.3  13.1  13.4 999.0 99.0 99.00
2006 01 02 05 00 221  4.4  5.3  5.07  8.33  8.20 185 1003.2  13.3  13.4 999.0 99.0 99.00
2006 01 02 06 00 204  5.2  6.4  4.65 16.00  8.74 292 1003.6  13.5  13.4 999.0 99.0 99.00
2006 01 02 07 00 169  4.8  6.5  4.80 13.79  9.00 293 1002.8  13.5  13.5 999.0 99.0 99.00
2006 01 02 08 00 185  6.8  8.3  4.99 14.81  9.30 297 1003.5  13.7  13.5 999.0 99.0 99.00
2006 01 02 09 00 183  6.3  8.4  5.00 13.79  9.87 290 1002.6  13.4  13.4 999.0 99.0 99.00
2006 01 02 10 00 186  6.1  7.8  5.05 16.00 10.03 295 1002.2  13.3  13.3 999.0 99.0 99.00
2006 01 02 11 00 193  7.6  9.0  5.09 13.79 10.64 294 1002.0  13.4  13.3 999.0 99.0 99.00
2006 01 02 12 00 204  7.0  8.7  5.17 14.81 10.50 289 1001.3  13.3  13.3 999.0 99.0 99.00
2006 01 02 13 00 201  6.6  9.6  4.77 14.81  9.99 287 1000.0  13.2  13.3 999.0 99.0 99.00
2006 01 02 14 00 162 11.4 15.6  5.16 13.79 10.28 282  999.2  13.0  13.3 999.0 99.0 99.00
2006 01 02 15 00 153  9.1 11.7  4.88 13.79  9.19 285  998.7  13.3  13.3 999.0 99.0 99.00
2006 01 02 16 00 135  9.0 12.3  4.91 13.79  9.19 279  998.1  13.3  13.3 999.0 99.0 99.00
2006 01 02 17 00 113  6.3  8.7  4.66 16.00  9.17 275  998.1  12.9  13.3 999.0 99.0 99.00
2006 01 02 18 00  81  4.8  6.8  4.78 13.79  9.43 277  998.7  12.4  13.3 999.0 99.0 99.00
2006 01 02 19 00  79  6.5  8.5  4.62 13.79  9.09 284  998.0  12.0  13.3 999.0 99.0 99.00
2006 01 02 20 00  76  7.0  9.8  4.58 14.81  8.83 284  997.0  12.1  13.4 999.0 99.0 99.00
2006 01 02 21 00 342 10.3 13.7  4.85 14.81  8.86 293  998.6  11.5  13.4 999.0 99.0 99.00
2006 01 02 22 00 322 14.9 99.0 99.00 99.00 99.00 999 1000.7  11.5 999.0 999.0 99.0 99.00
2006 01 02 23 00 330 12.0 14.7 99.00 99.00 99.00 999 1002.9  12.0  13.5 999.0 99.0 99.00
2006 01 03 00 00 306 11.2 14.8  4.55 13.79  8.32 285 1006.2  13.2  13.5 999.0 99.0 99.00
2006 01 03 01 00 293  9.8 12.4  4.42 14.81  8.64 286 1008.7  13.7  13.5 999.0 99.0 99.00
2006 01 03 02 00 296  9.8 12.2  4.19 16.00  8.78 291 1010.5  13.7  13.5 999.0 99.0 99.00
2006 01 03 03 00 301  9.5 11.5  4.33 16.00  9.02 298 1012.0  13.5  13.4 999.0 99.0 99.00
2006 01 03 04 00 304  8.3 10.2  4.33 16.00  9.17 291 1013.7  13.4  13.3 999.0 99.0 99.00
2006 01 03 05 00 295  8.4 10.6  4.20 14.81  9.36 285 1015.4  13.2  13.3 999.0 99.0 99.00
2006 01 03 06 00 313  5.6  7.2  3.71 14.81  9.17 291 1016.7  13.0  13.2 999.0 99.0 99.00
2006 01 03 07 00 317  3.9  4.9  3.80 17.39  9.38 286 1017.5  13.0  13.1 999.0 99.0 99.00
2006 01 03 08 00 282  3.5  5.0  3.79 13.79  9.57 288 1018.3  13.0  13.1 999.0 99.0 99.00
2006 01 03 09 00 265  2.7  4.5  4.31 16.00  9.96 281 1018.6  12.9  13.1 999.0 99.0 99.00
2006 01 03 10 00 184  1.0  2.0  3.94 12.90  9.76 275 1019.1  12.8  13.2 999.0 99.0 99.00
2006 01 03 11 00 191  3.4  4.8  3.85 13.79  9.52 272 1019.6  13.0  13.2 999.0 99.0 99.00
2006 01 03 12 00 183  5.3  6.5  4.02 13.79  9.88 276 1020.3  12.9  13.2 999.0 99.0 99.00
2006 01 03 13 00 177  5.6  7.0  4.01 13.79 10.05 277 1020.9  12.9  13.2 999.0 99.0 99.00
2006 01 03 14 00 160  6.9  8.7  4.46 14.81 10.28 277 1020.4  12.9  13.3 999.0 99.0 99.00
2006 01 03 15 00 182  6.2  7.4  4.35 14.81  9.92 274 1021.9  13.2  13.3 999.0 99.0 99.00
2006 01 03 16 00 171  7.3  9.0  4.28 13.79  9.58 276 1022.5  13.3  13.4 999.0 99.0 99.00
2006 01 03 17 00 160  7.5  8.9  4.17 16.00  9.25 277 1022.5  13.3  13.4 999.0 99.0 99.00
2006 01 03 18 00 150  9.0 11.1  3.99 16.00  9.07 270 1022.9  13.2  13.4 999.0 99.0 99.00
2006 01 03 19 00 160  8.7 10.6 99.00 99.00 99.00 999 1023.9  13.3  13.4 999.0 99.0 99.00
2006 01 03 20 00 158  9.1 11.1  3.78 16.00  8.80 282 1023.2  13.2  13.4 999.0 99.0 99.00
2006 01 03 21 00 153  9.1 11.7  3.57 13.79  8.59 281 1022.4  13.2  13.4 999.0 99.0 99.00
2006 01 03 22 00 157  9.9 12.1 99.00 99.00 99.00 999 1022.5  13.2  13.4 999.0 99.0 99.00
2006 01 03 23 00 154 11.2 13.3  3.44 16.00  8.23 283 1022.4  13.5  13.4 999.0 99.0 99.00
2006 01 04 00 00 152  9.9 12.2  3.35 14.81  8.15 274 1022.5  13.6  13.4 999.0 99.0 99.00
2006 01 04 01 00 156  8.7 10.7  3.15 14.81  7.95 273 1023.3  13.7  13.4 999.0 99.0 99.00
2006 01 04 02 00 153  9.2 11.1  3.36 14.81  8.43 271 1023.4  13.8  13.4 999.0 99.0 99.00
2006 01 04 03 00 158  8.9 10.5  3.38 13.79  8.67 276 1024.2  13.9  13.3 999.0 99.0 99.00
2006 01 04 04 00 162  9.0 11.1  3.28 14.81  8.62 269 1024.6  13.7  13.3 999.0 99.0 99.00
2006 01 04 05 00 166  9.4 12.0 99.00 99.00 99.00 999 1024.8  13.7  13.3 999.0 99.0 99.00
2006 01 04 06 00 164  8.4 10.0  3.39 13.79  8.01 282 1025.6  13.8  13.3 999.0 99.0 99.00
2006 01 04 07 00 154  8.1 10.0  3.21 14.81  8.05 279 1025.4  13.7  13.3 999.0 99.0 99.00
2006 01 04 08 00 144  8.7 11.0  3.79 14.81  8.84 280 1024.6  13.6  13.3 999.0 99.0 99.00
2006 01 04 09 00 142  4.9  6.9  3.98 14.81  9.28 276 1025.3  13.9  13.3 999.0 99.0 99.00
2006 01 04 10 00 144  4.1  5.8  4.14 13.79 10.42 283 1025.3  13.9  13.3 999.0 99.0 99.00
2006 01 04 11 00 115  3.2  6.6  5.05 19.05 11.01 284 1026.0  13.9  13.3 999.0 99.0 99.00
2006 01 04 12 00  91  3.2  6.0  5.99 19.05 12.50 288 1026.1  13.5  13.3 999.0 99.0 99.00
2006 01 04 13 00  95  3.1  6.2  5.92 19.05 12.11 287 1026.4  13.4  13.4 999.0 99.0 99.00
2006 01 04 14 00  83  4.2  7.1  5.88 19.05 12.35 285 1026.1  13.3  13.4 999.0 99.0 99.00
2006 01 04 15 00  90  4.7  6.5  6.02 19.05 12.70 289 1026.2  13.4  13.4 999.0 99.0 99.00
2006 01 04 16 00  94  6.2  8.5  5.14 17.39 12.06 286 1026.0  12.9  13.4 999.0 99.0 99.00
2006 01 04 17 00  81  6.6  8.9  5.57 17.39 12.48 289 1026.2  13.0  13.4 999.0 99.0 99.00
2006 01 04 18 00  84  6.3  9.9  4.78 17.39 11.65 287 1026.2  13.4  13.4 999.0 99.0 99.00
2006 01 04 19 00  90  6.9  9.6  5.20 17.39 12.11 285 1026.3  13.0  13.4 999.0 99.0 99.00
2006 01 04 20 00  92  5.0  7.7  5.14 17.39 12.03 286 1026.2  13.1  13.4 999.0 99.0 99.00
2006 01 04 21 00  84  3.3  5.6  5.11 17.39 12.30 291 1026.1  13.5  13.4 999.0 99.0 99.00
2006 01 04 22 00  50  2.4  3.9  4.72 17.39 11.90 289 1025.9  13.7  13.5 999.0 99.0 99.00
2006 01 04 23 00  28  3.9  4.6  4.60 17.39 12.19 280 1026.0  14.0  13.6 999.0 99.0 99.00
2006 01 05 00 00  38  5.2  6.5  4.64 16.00 12.11 292 1025.4  13.5  13.5 999.0 99.0 99.00
2006 01 05 01 00 299  1.9  3.3  4.28 17.39 12.28 288 1025.8  13.7  13.5 999.0 99.0 99.00
2006 01 05 02 00   6  1.2  2.2  4.70 17.39 12.22 293 1025.7  13.6  13.5 999.0 99.0 99.00
2006 01 05 03 00  56  2.0  3.7  4.48 16.00 12.12 290 1026.0  14.7  13.5 999.0 99.0 99.00
2006 01 05 04 00  57  7.2  9.5  4.40 14.81 11.74 291 1025.8  15.6  13.5 999.0 99.0 99.00
2006 01 05 05 00  56  7.0  8.7  4.36 16.00 11.45 298 1025.6  15.6  13.4 999.0 99.0 99.00
2006 01 05 06 00  45  5.3  6.7  4.18 16.00 11.09 294 1025.6  15.1  13.5 999.0 99.0 99.00
2006 01 05 07 00  72  6.1  8.5  3.57 17.39 10.13 295 1025.4  14.7  13.6 999.0 99.0 99.00
