#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 335  5.9  7.6  3.04 13.79 10.21 287 1025.0  11.5  12.9 999.0 99.0 99.00
2007 01 01 01 00 322  6.2  9.0  3.29 14.81 10.39 287 1025.1  11.5  12.9 999.0 99.0 99.00
2007 01 01 02 00 346  6.3  8.2  3.00 13.79  9.99 296 1025.4  11.4  12.9 999.0 99.0 99.00
2007 01 01 03 00 346  6.2  7.6  2.98 13.79  9.71 285 1025.4  11.5  12.9 999.0 99.0 99.00
2007 01 01 04 00 351  6.9  8.7  2.98 12.90  9.44 293 1025.4  11.4  12.9 999.0 99.0 99.00
2007 01 01 05 00 333  6.6  8.0  3.02 12.90  9.24 297 1025.4  11.3  12.9 999.0 99.0 99.00
2007 01 01 06 00 338  6.4  8.0  2.88 12.90  9.31 297 1025.4  11.2  12.9 999.0 99.0 99.00
2007 01 01 07 00 342  6.7  8.2  3.17 12.90  9.75 304 1025.6  11.0  12.9 999.0 99.0 99.00
2007 01 01 08 00 345  5.8  7.2  3.07 12.90  9.90 289 1025.4  10.9  12.9 999.0 99.0 99.00
2007 01 01 09 00 344  6.3  8.4  3.26 12.90  9.82 298 1025.5  11.0  12.8 999.0 99.0 99.00
2007 01 01 10 00 339  6.7  8.0  2.81 12.12  9.11 295 1025.6  11.1  12.8 999.0 99.0 99.00
2007 01 01 11 00 345  6.2  8.3  3.17 12.12  9.60 295 1025.6  10.9  12.8 999.0 99.0 99.00
2007 01 01 12 00 332  7.3  9.0  2.91 12.90  9.13 286 1025.4  11.0  12.8 999.0 99.0 99.00
2007 01 01 13 00 342  8.1  9.9  2.54 11.43  8.58 286 1024.8  11.0  12.8 999.0 99.0 99.00
2007 01 01 14 00 339  9.4 11.7  2.36 13.79  7.49 292 1024.7  11.1  12.8 999.0 99.0 99.00
2007 01 01 15 00 348  8.3 10.0  2.52 11.43  7.84 288 1024.6  11.1  12.8 999.0 99.0 99.00
2007 01 01 16 00 337  7.8  9.7  2.31 13.79  7.42 288 1024.9  11.1  12.8 999.0 99.0 99.00
2007 01 01 17 00 353  7.4  9.3  2.32 13.79  7.30 288 1025.0  10.9  12.7 999.0 99.0 99.00
2007 01 01 18 00 336  8.2  9.7  2.26 12.90  7.39 278 1025.2  11.1  12.7 999.0 99.0 99.00
2007 01 01 19 00 329  8.5 10.3  2.05 12.90  6.83 295 1024.7  11.3  12.7 999.0 99.0 99.00
2007 01 01 20 00 348  7.1  8.3  2.09 12.90  6.71 290 1023.0  11.6  12.7 999.0 99.0 99.00
2007 01 01 21 00 330  8.2 10.0  1.95 12.12  6.45 293 1022.3  11.8  12.7 999.0 99.0 99.00
2007 01 01 22 00 324  8.6 10.1  2.04 12.90  6.28 293 1021.9  12.1  12.7 999.0 99.0 99.00
2007 01 01 23 00 321  8.4  9.8  2.02 12.12  6.19 294 1021.5  12.3  12.7 999.0 99.0 99.00
2007 01 02 00 00 322  8.8 10.5  2.13 12.12  6.77 296 1021.6  12.6  12.7 999.0 99.0 99.00
2007 01 02 01 00 320  9.1 10.8  2.16 12.90  7.07 281 1021.8  12.5  12.6 999.0 99.0 99.00
2007 01 02 02 00 326  8.0 10.3  1.98 12.90  6.50 295 1021.9  12.7  12.5 999.0 99.0 99.00
2007 01 02 03 00 350  7.3  9.4  2.11 11.43  6.57 294 1022.1  12.4  12.5 999.0 99.0 99.00
2007 01 02 04 00 329  7.4  9.2  2.22 12.12  6.81 296 1022.2  12.5  12.5 999.0 99.0 99.00
2007 01 02 05 00 332  8.8 10.3  2.26 11.43  7.13 300 1022.2  12.6  12.5 999.0 99.0 99.00
2007 01 02 06 00 336  9.3 11.0  2.50 11.43  7.46 306 1021.9  12.7  12.6 999.0 99.0 99.00
2007 01 02 07 00 350  7.8  9.1  2.15 13.79  6.63 268 1021.5  12.5  12.6 999.0 99.0 99.00
2007 01 02 08 00  24  6.1  7.1  2.26 12.90  6.96 284 1021.4  12.5  12.6 999.0 99.0 99.00
2007 01 02 09 00 351  3.0  4.5  2.37 12.12  7.53 293 1021.6  12.1  12.6 999.0 99.0 99.00
2007 01 02 10 00 332  4.3  5.3  2.30 11.43  7.49 284 1021.9  12.3  12.6 999.0 99.0 99.00
2007 01 02 11 00 355  3.9  4.4  2.24 12.12  7.48 280 1021.8  12.3  12.7 999.0 99.0 99.00
2007 01 02 12 00   6  2.8  3.5  2.36 11.43  7.70 293 1021.5  12.3  12.7 999.0 99.0 99.00
2007 01 02 13 00 319  2.8  4.1  2.39 12.90  7.71 285 1021.5  12.2  12.7 999.0 99.0 99.00
2007 01 02 14 00  21  3.9  4.7  2.15 16.00  7.68 284 1021.4  12.3  12.7 999.0 99.0 99.00
2007 01 02 15 00  78  5.0  6.3  2.34 14.81  7.98 292 1021.5  11.7  12.7 999.0 99.0 99.00
2007 01 02 16 00  86  3.9  5.0  2.34 14.81  7.96 292 1022.0  11.3  12.7 999.0 99.0 99.00
2007 01 02 17 00  86  4.4  5.6  2.40 14.81  8.10 287 1021.9  11.6  12.7 999.0 99.0 99.00
2007 01 02 18 00 341  3.9  4.7  2.33 13.79  7.87 292 1023.0  12.0  12.7 999.0 99.0 99.00
2007 01 02 19 00 349  3.1  3.8  2.28 13.79  7.97 285 1023.0  12.1  12.8 999.0 99.0 99.00
2007 01 02 20 00 351  1.2  2.2  2.28 13.79  8.10 282 1021.7  12.5  12.9 999.0 99.0 99.00
2007 01 02 21 00 327  2.8  3.6  2.50 12.90  8.13 278 1020.9  12.7  13.0 999.0 99.0 99.00
2007 01 02 22 00 327  4.7  5.9  2.43 12.90  8.02 287 1020.3  12.5  12.9 999.0 99.0 99.00
2007 01 02 23 00 342  3.0  3.8  2.47 11.43  7.79 284 1020.2  12.5  12.9 999.0 99.0 99.00
2007 01 03 00 00 323  6.1  7.3  2.58 12.12  8.15 295 1020.7  12.6  12.9 999.0 99.0 99.00
2007 01 03 01 00 334  6.2  7.3  2.44 12.12  7.89 289 1020.6  12.0  12.9 999.0 99.0 99.00
2007 01 03 02 00 331  7.4  8.8  2.57 12.12  8.07 286 1020.9  11.9  12.8 999.0 99.0 99.00
2007 01 03 03 00 336  5.9  6.9  2.49 11.43  7.32 280 1020.5  11.6  12.8 999.0 99.0 99.00
2007 01 03 04 00 318  7.3  9.0  2.37 11.43  7.63 289 1020.6  11.4  12.9 999.0 99.0 99.00
2007 01 03 05 00 333  7.7  9.2  2.45 11.43  7.65 286 1020.5  11.7  12.9 999.0 99.0 99.00
2007 01 03 06 00 330  7.9  9.6  2.32 12.90  7.45 298 1020.6  11.5  12.8 999.0 99.0 99.00
2007 01 03 07 00 337  6.6  7.8  2.33 12.90  7.74 279 1020.5  11.2  12.8 999.0 99.0 99.00
2007 01 03 08 00 331  6.2  8.2  2.26 12.90  7.42 286 1020.4  11.0  12.7 999.0 99.0 99.00
2007 01 03 09 00 329  7.6  9.2  2.34 17.39  7.89 288 1020.7  11.1  12.7 999.0 99.0 99.00
2007 01 03 10 00 325  7.8  9.3 99.00 99.00 99.00 999 1020.9  11.4  12.7 999.0 99.0 99.00
2007 01 03 11 00 328  6.6  8.6  2.45 12.12  7.79 302 1021.2  11.2  12.7 999.0 99.0 99.00
2007 01 03 12 00 335  7.4  9.7  2.45 12.12  7.86 297 1021.2  11.2  12.7 999.0 99.0 99.00
2007 01 03 13 00 332  6.8  8.3  2.55 11.43  8.04 300 1021.0  11.4  12.7 999.0 99.0 99.00
2007 01 03 14 00 334  6.4  8.0  2.68 12.90  8.67 300 1021.2  11.7  12.7 999.0 99.0 99.00
2007 01 03 15 00   5  5.2  6.2  2.77 12.90  8.89 302 1021.6  11.3  12.7 999.0 99.0 99.00
2007 01 03 16 00 343  4.6  5.8  2.85 12.90  9.11 303 1021.8  11.4  12.7 999.0 99.0 99.00
2007 01 03 17 00 342  4.0  4.9  2.73 12.90  9.47 310 1022.3  11.7  12.6 999.0 99.0 99.00
2007 01 03 18 00 329  4.4  5.7  2.89 12.90  9.74 306 1022.9  12.1  12.7 999.0 99.0 99.00
2007 01 03 19 00 327  2.4  3.5  3.03 12.90 10.23 296 1022.4  12.3  12.7 999.0 99.0 99.00
2007 01 03 20 00 296  4.5  5.8  2.94 12.90 10.20 299 1021.7  11.8  12.9 999.0 99.0 99.00
2007 01 03 21 00 302  3.7  4.8  2.89 12.12  9.98 293 1021.3  11.7  12.9 999.0 99.0 99.00
2007 01 03 22 00 303  4.7  6.4  3.12 13.79 10.69 296 1020.9  12.7  12.9 999.0 99.0 99.00
2007 01 03 23 00 302  3.4  4.8  2.98 14.81 10.32 298 1021.0  13.0  12.9 999.0 99.0 99.00
2007 01 04 00 00 281  3.0  4.2  2.94 13.79 10.37 298 1021.1  12.9  12.9 999.0 99.0 99.00
2007 01 04 01 00 275  3.7  4.8  2.77 14.81 10.24 307 1021.0  13.0  12.9 999.0 99.0 99.00
2007 01 04 02 00 251  2.4  3.2  2.85 14.81 10.30 301 1021.1  13.2  12.9 999.0 99.0 99.00
2007 01 04 03 00 271  3.1  4.1  2.94 13.79 10.32 299 1021.2  13.4  12.9 999.0 99.0 99.00
2007 01 04 04 00 228  2.5  3.2  2.75 13.79 10.41 303 1021.2  13.4  12.9 999.0 99.0 99.00
2007 01 04 05 00 210  2.2  2.7  2.81 12.90 10.37 300 1021.3  13.3  12.9 999.0 99.0 99.00
2007 01 04 06 00 207  2.9  3.5  2.95 12.12 10.80 304 1021.2  13.3  12.9 999.0 99.0 99.00
2007 01 04 07 00 198  3.1  3.7  3.10 12.90 10.68 302 1020.9  13.1  12.9 999.0 99.0 99.00
2007 01 04 08 00 195  3.2  3.9  2.88 13.79 10.21 305 1020.7  13.2  12.9 999.0 99.0 99.00
2007 01 04 09 00 215  4.0  4.7  2.86 12.12 10.30 305 1020.3  13.1  12.9 999.0 99.0 99.00
2007 01 04 10 00 235  3.6  4.5  2.97 13.79 10.27 296 1020.0  13.2  12.8 999.0 99.0 99.00
2007 01 04 11 00 251  4.5  5.7  2.76 13.79 10.08 300 1019.9  13.2  12.8 999.0 99.0 99.00
2007 01 04 12 00 260  4.2  5.5  2.98 12.90 10.06 301 1019.6  13.1  12.8 999.0 99.0 99.00
2007 01 04 13 00 269  3.9  5.4  2.95 12.90  9.89 298 1019.3  13.0  12.8 999.0 99.0 99.00
2007 01 04 14 00 261  3.7  5.1  2.98 13.79 10.05 288 1018.9  13.0  12.8 999.0 99.0 99.00
2007 01 04 15 00 277  4.9  6.7  3.10 13.79  9.60 300 1019.1  12.9  12.8 999.0 99.0 99.00
2007 01 04 16 00 329  8.3 10.0  3.41 12.12  9.60 285 1019.3  12.0  12.7 999.0 99.0 99.00
2007 01 04 17 00 329  9.2 11.1  3.38 17.39  9.43 294 1020.1  11.6  12.7 999.0 99.0 99.00
2007 01 04 18 00 329 10.9 13.3  3.65 16.00  8.97 290 1020.9  11.2  12.7 999.0 99.0 99.00
2007 01 04 19 00 316 10.7 13.8  4.05 14.81  9.16 292 1021.2  11.4  12.7 999.0 99.0 99.00
2007 01 04 20 00 323  9.3 11.5  3.86 17.39  8.44 284 1020.8  12.0  12.7 999.0 99.0 99.00
2007 01 04 21 00 317  9.1 10.9  3.94 16.00  8.65 301 1020.4  12.2  12.7 999.0 99.0 99.00
2007 01 04 22 00 317 11.0 15.7  3.84 17.39  8.30 295 1020.3  12.3  12.7 999.0 99.0 99.00
2007 01 04 23 00 316 12.4 15.1  4.11 16.00  8.47 293 1020.6  11.8  12.7 999.0 99.0 99.00
2007 01 05 00 00 319 13.5 16.2  4.18 17.39  7.93 297 1021.1  11.1  12.7 999.0 99.0 99.00
2007 01 05 01 00 321 13.8 17.1  4.32 17.39  7.71 289 1021.5  10.9  12.7 999.0 99.0 99.00
2007 01 05 02 00 328 15.3 19.1  4.62 17.39  7.97 296 1021.9  11.1  12.7 999.0 99.0 99.00
2007 01 05 03 00 324 16.2 19.8  5.07 16.00  7.90 302 1022.0  10.9  12.7 999.0 99.0 99.00
2007 01 05 04 00 329 16.0 20.1 99.00 99.00 99.00 999 1022.5  10.9  12.7 999.0 99.0 99.00
2007 01 05 05 00 326 17.9 22.2 99.00 99.00 99.00 999 1022.4  10.9  12.6 999.0 99.0 99.00
2007 01 05 06 00 335 17.3 21.6 99.00 99.00 99.00 999 1023.4  10.6  12.5 999.0 99.0 99.00
2007 01 05 07 00 340 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 05 08 00 345 14.8 18.4 99.00 99.00 99.00 999 1024.7  10.3  12.4 999.0 99.0 99.00
2007 01 05 09 00 339 15.8 19.2 99.00 99.00 99.00 999 1024.9  10.1  12.3 999.0 99.0 99.00
2007 01 05 10 00 339 14.8 17.2  6.22 10.81  8.78 307 1025.5  10.1  12.1 999.0 99.0 99.00
2007 01 05 11 00 343 14.3 17.5  6.15 11.43  8.90 299 1026.2  10.1  12.1 999.0 99.0 99.00
2007 01 05 12 00 344 14.7 17.9  5.91 11.43  8.87 306 1026.7  10.2  12.0 999.0 99.0 99.00
2007 01 05 13 00 343 15.2 18.4  5.98 10.81  8.96 313 1027.1   9.9  12.0 999.0 99.0 99.00
2007 01 05 14 00 351 14.2 17.7  5.95 12.90  9.03 299 1028.0   9.9  11.9 999.0 99.0 99.00
2007 01 05 15 00 352 13.5 16.5 99.00 99.00 99.00 999 1028.8   9.7  11.9 999.0 99.0 99.00
2007 01 05 16 00 350 13.4 16.2 99.00 99.00 99.00 999 1029.3   9.7  11.9 999.0 99.0 99.00
2007 01 05 17 00 346 13.9 17.7  5.58 12.12  8.83 304 1029.8   9.7  11.9 999.0 99.0 99.00
2007 01 05 18 00 349 12.3 15.0 99.00 99.00 99.00 999 1030.0   9.8  11.9 999.0 99.0 99.00
2007 01 05 19 00 342 13.5 16.0  5.70 12.12  9.26 301 1029.9   9.9  11.9 999.0 99.0 99.00
2007 01 05 20 00 343 13.0 15.2  5.55 12.12  9.03 304 1029.5  10.0  11.9 999.0 99.0 99.00
2007 01 05 21 00 337 13.0 15.6  4.95 12.12  8.56 300 1028.8  10.3  11.9 999.0 99.0 99.00
2007 01 05 22 00 331 13.3 15.7  5.30 11.43  8.71 300 1028.9  10.5  11.9 999.0 99.0 99.00
2007 01 05 23 00 329 14.2 17.2  4.98 11.43  8.50 293 1029.1  10.8  11.9 999.0 99.0 99.00
2007 01 06 00 00 334 14.1 17.0 99.00 99.00 99.00 999 1029.4  10.8  11.9 999.0 99.0 99.00
2007 01 06 01 00 333 13.6 17.0 99.00 99.00 99.00 999 1029.6  10.8  11.9 999.0 99.0 99.00
2007 01 06 02 00 340 12.8 15.7 99.00 99.00 99.00 999 1030.3  11.0  11.9 999.0 99.0 99.00
2007 01 06 03 00 341 12.6 15.1  4.76 12.90  8.12 305 1030.5  11.2  11.8 999.0 99.0 99.00
2007 01 06 04 00 338 13.7 17.2  4.79 13.79  8.16 303 1030.8  11.2  11.8 999.0 99.0 99.00
2007 01 06 05 00 340 13.0 16.0  4.72 13.79  8.19 303 1031.0  11.3  11.7 999.0 99.0 99.00
2007 01 06 06 00 345 11.8 14.7  4.38 14.81  7.73 292 1031.3  11.2  11.7 999.0 99.0 99.00
2007 01 06 07 00 341 10.5 12.9  4.34 13.79  8.07 295 1031.7  11.1  11.7 999.0 99.0 99.00
2007 01 06 08 00 342 10.3 12.2 99.00 99.00 99.00 999 1031.3  11.1  11.6 999.0 99.0 99.00
2007 01 06 09 00 342 10.4 12.6  3.94 13.79  8.04 297 1031.4  11.0  11.7 999.0 99.0 99.00
2007 01 06 10 00 338 10.1 11.8 99.00 99.00 99.00 999 1031.5  11.1  11.7 999.0 99.0 99.00
2007 01 06 11 00 347 10.5 13.5 99.00 99.00 99.00 999 1032.1  11.0  11.7 999.0 99.0 99.00
2007 01 06 12 00 344 10.6 12.5  3.68 12.12  7.73 294 1031.9  11.1  11.7 999.0 99.0 99.00
2007 01 06 13 00 348 12.6 15.6 99.00 99.00 99.00 999 1031.9  11.0  11.7 999.0 99.0 99.00
2007 01 06 14 00 346 11.8 14.9  3.75 13.79  7.51 300 1032.0  11.1  11.7 999.0 99.0 99.00
2007 01 06 15 00 343 12.4 15.6  3.56 13.79  7.29 294 1032.0  11.3  11.7 999.0 99.0 99.00
2007 01 06 16 00 345 10.9 13.3 99.00 99.00 99.00 999 1032.6  11.2  11.8 999.0 99.0 99.00
2007 01 06 17 00 344 11.2 13.8  3.82 12.90  7.33 294 1032.6  11.2  11.8 999.0 99.0 99.00
2007 01 06 18 00 340  9.9 12.1  3.40 10.81  6.99 299 1032.9  11.2  11.8 999.0 99.0 99.00
2007 01 06 19 00 340  9.9 12.7 99.00 99.00 99.00 999 1032.4  11.4  11.7 999.0 99.0 99.00
2007 01 06 20 00 334 11.8 13.8  3.35 12.90  7.20 300 1031.3  11.3  11.7 999.0 99.0 99.00
2007 01 06 21 00 342 11.2 13.6  3.18 12.90  6.89 304 1030.6  11.1  11.7 999.0 99.0 99.00
2007 01 06 22 00 339 11.2 13.4  3.20 12.12  7.24 301 1030.5  11.2  11.7 999.0 99.0 99.00
2007 01 06 23 00 338 11.7 14.6  3.23 13.79  7.17 296 1030.4  11.5  11.7 999.0 99.0 99.00
2007 01 07 00 00 341 10.5 13.0  3.34 13.79  7.43 295 1030.7  11.5  11.7 999.0 99.0 99.00
2007 01 07 01 00 344  9.8 11.8  3.23 12.90  7.34 300 1031.1  11.6  11.5 999.0 99.0 99.00
2007 01 07 02 00 339 11.3 13.4  3.26 12.90  7.01 303 1030.9  11.5  11.4 999.0 99.0 99.00
2007 01 07 03 00 344 11.6 14.4  3.03 13.79  6.82 289 1030.8  11.6  11.3 999.0 99.0 99.00
2007 01 07 04 00 343 10.8 13.4  3.32 13.79  6.76 302 1030.9  11.6  11.3 999.0 99.0 99.00
2007 01 07 05 00 347 10.7 13.1  3.28 14.81  6.82 302 1031.0  11.6  11.4 999.0 99.0 99.00
2007 01 07 06 00 345  9.6 11.7  3.63 13.79  7.43 307 1031.6  11.7  11.4 999.0 99.0 99.00
2007 01 07 07 00 339 11.5 13.2  3.78 13.79  7.88 315 1031.4  11.6  11.4 999.0 99.0 99.00
2007 01 07 08 00 336  9.5 11.3  3.86 13.79  7.81 308 1031.3  11.6  11.4 999.0 99.0 99.00
2007 01 07 09 00 334  9.4 12.0  3.86 13.79  8.48 310 1031.3  11.5  11.4 999.0 99.0 99.00
2007 01 07 10 00 348  8.4 10.2  4.28 13.79  8.84 305 1031.7  11.7  11.4 999.0 99.0 99.00
2007 01 07 11 00 342  6.7  8.3  4.02 12.90  8.87 309 1032.1  11.5  11.4 999.0 99.0 99.00
2007 01 07 12 00 352  7.0  8.8  3.97 13.79  9.22 309 1032.2  11.5  11.4 999.0 99.0 99.00
2007 01 07 13 00 355  7.3  9.4  3.99 14.81  9.00 306 1032.1  11.5  11.4 999.0 99.0 99.00
2007 01 07 14 00  13  6.1  7.6  4.28 13.79  9.57 310 1032.5  11.1  11.5 999.0 99.0 99.00
2007 01 07 15 00  21  3.4  5.4  3.61 16.00  8.84 298 1032.7  11.1  11.7 999.0 99.0 99.00
2007 01 07 16 00 357  7.5  9.7  3.64 14.81  8.87 310 1032.9  11.5  11.8 999.0 99.0 99.00
2007 01 07 17 00 356  7.4  8.8  3.51 12.90  8.15 305 1033.6  11.7  11.9 999.0 99.0 99.00
2007 01 07 18 00 343  7.8  9.5  3.53 12.90  8.14 305 1033.8  11.6  11.9 999.0 99.0 99.00
2007 01 07 19 00  36  4.1  5.0  3.32 12.90  7.91 306 1033.8  11.5  11.9 999.0 99.0 99.00
2007 01 07 20 00 360  4.8  6.2  3.25 14.81  8.48 302 1033.0  11.4  12.0 999.0 99.0 99.00
2007 01 07 21 00 358  7.8  9.2  3.27 13.79  7.93 299 1031.9  11.6  12.0 999.0 99.0 99.00
2007 01 07 22 00 334  9.0 10.9  3.52 16.00  8.23 304 1030.6  11.8  12.0 999.0 99.0 99.00
2007 01 07 23 00 332 10.1 12.0  3.60 16.00  7.97 296 1030.1  11.6  12.0 999.0 99.0 99.00
2007 01 08 00 00 330  9.9 12.3  3.63 16.00  7.93 302 1030.2  11.7  12.0 999.0 99.0 99.00
2007 01 08 01 00 332 11.2 13.0  3.74 14.81  7.76 295 1030.1  11.6  11.9 999.0 99.0 99.00
2007 01 08 02 00 338  9.8 12.7  4.09 14.81  8.39 307 1030.3  11.5  11.7 999.0 99.0 99.00
2007 01 08 03 00 351  8.4 10.4  3.91 14.81  8.13 294 1030.6  11.5  11.7 999.0 99.0 99.00
2007 01 08 04 00 342  9.4 11.6  3.85 14.81  8.33 296 1030.0  11.4  11.6 999.0 99.0 99.00
2007 01 08 05 00 344  8.1  9.9  3.81 16.00  8.45 310 1030.1  11.4  11.5 999.0 99.0 99.00
2007 01 08 06 00 350  6.4  7.6  3.81 14.81  8.60 303 1029.9  11.3  11.4 999.0 99.0 99.00
2007 01 08 07 00 329  3.8  5.3  3.81 14.81  8.92 298 1029.8  11.2  11.4 999.0 99.0 99.00
2007 01 08 08 00 317  4.0  6.0  3.94 14.81  9.56 292 1029.4  11.3  11.4 999.0 99.0 99.00
2007 01 08 09 00 357  2.6  3.9  4.11 12.90  9.75 297 1029.1  11.0  11.4 999.0 99.0 99.00
2007 01 08 10 00  29  2.2  3.0  4.06 14.81  9.78 287 1028.8  11.2  11.4 999.0 99.0 99.00
2007 01 08 11 00  56  4.4  6.2  3.75 14.81  9.87 291 1028.5  11.5  11.7 999.0 99.0 99.00
2007 01 08 12 00  61  3.9  5.1  3.66 17.39  9.96 309 1027.9  11.6  12.0 999.0 99.0 99.00
2007 01 08 13 00  65  4.3  5.7  3.71 16.00  9.28 306 1027.5  11.9  12.1 999.0 99.0 99.00
2007 01 08 14 00  86  5.7  7.4  3.84 16.00  9.77 310 1027.2  12.0  12.1 999.0 99.0 99.00
2007 01 08 15 00  82  5.4  7.1  3.50 17.39  9.16 304 1027.4  11.8  12.1 999.0 99.0 99.00
2007 01 08 16 00  69  4.8  6.1  3.57 16.00  9.50 316 1027.5  12.0  12.1 999.0 99.0 99.00
2007 01 08 17 00  79  4.4  5.6  3.40 16.00  9.16 314 1028.0  12.3  12.1 999.0 99.0 99.00
2007 01 08 18 00  70  4.8  6.1  3.56 16.00  9.55 310 1028.3  12.4  12.2 999.0 99.0 99.00
2007 01 08 19 00  66  3.6  4.8  3.85 16.00  9.71 314 1027.7  12.6  12.2 999.0 99.0 99.00
2007 01 08 20 00  57  3.9  4.9  3.76 16.00  9.73 305 1026.7  12.9  12.2 999.0 99.0 99.00
2007 01 08 21 00  20  3.4  4.4  3.89 16.00 10.23 305 1025.3  12.6  12.3 999.0 99.0 99.00
2007 01 08 22 00 344  4.1  5.3  3.84 14.81 10.80 301 1024.2  12.5  12.4 999.0 99.0 99.00
2007 01 08 23 00 351  3.3  4.6  3.89 16.00 11.15 302 1023.5  12.6  12.4 999.0 99.0 99.00
