#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 126  3.3  4.4  1.58 11.43  8.42 281 1026.3 999.0  13.1 999.0 99.0 99.00
2010 01 01 00 50 240  0.7  1.0  1.80 11.43  8.72 289 1026.8 999.0  13.1 999.0 99.0 99.00
2010 01 01 01 50 180  0.1  0.4  1.64 12.12  8.76 286 1027.2 999.0  13.0 999.0 99.0 99.00
2010 01 01 02 50  94  2.2  3.0  1.66 11.43  8.66 281 1027.4 999.0  13.0 999.0 99.0 99.00
2010 01 01 03 50  91  0.9  1.5  1.48 12.12  8.43 277 1028.1 999.0  13.0 999.0 99.0 99.00
2010 01 01 04 50 143  1.7  2.2  1.62 11.43  8.54 276 1028.0 999.0  13.0 999.0 99.0 99.00
2010 01 01 05 50 164  1.6  2.1  1.48 11.43  8.32 275 1028.1 999.0  13.0 999.0 99.0 99.00
2010 01 01 06 50 153  1.6  2.1  1.56 12.12  8.55 275 1028.1 999.0  13.0 999.0 99.0 99.00
2010 01 01 07 50 180  1.6  2.1  1.48 11.43  8.46 281 1027.6 999.0  13.0 999.0 99.0 99.00
2010 01 01 08 50 132  3.7  4.7  1.46 13.79  8.52 274 1026.8 999.0  13.0 999.0 99.0 99.00
2010 01 01 09 50 135  4.1  5.3  1.38 11.43  7.97 288 1026.2 999.0  12.9 999.0 99.0 99.00
2010 01 01 10 50 131  2.2  2.7  1.37 12.12  8.40 278 1026.2 999.0  12.9 999.0 99.0 99.00
2010 01 01 11 50  91  1.5  2.2  1.46 13.79  8.56 276 1026.1 999.0  12.9 999.0 99.0 99.00
2010 01 01 12 50  60  2.4  3.0  1.35 11.43  8.19 283 1026.0 999.0  12.9 999.0 99.0 99.00
2010 01 01 13 50  60  1.9  2.5  1.42 12.90  8.68 276 1026.4 999.0  12.9 999.0 99.0 99.00
2010 01 01 14 50  84  2.0  2.8  1.54 12.90  8.84 281 1026.8 999.0  12.9 999.0 99.0 99.00
2010 01 01 15 50  90  3.0  3.7  1.59 12.90  8.81 283 1026.8 999.0  12.9 999.0 99.0 99.00
2010 01 01 16 50  97  3.6  4.4  1.55 12.90  8.78 276 1026.9 999.0  12.9 999.0 99.0 99.00
2010 01 01 17 50 102  4.3  6.0  1.67 12.12  8.63 281 1027.1 999.0  12.9 999.0 99.0 99.00
2010 01 01 18 50  96  6.2  7.8  1.88 11.43  8.88 290 1026.2 999.0  12.9 999.0 99.0 99.00
2010 01 01 19 50 352  0.5  1.0  1.97 11.43  8.49 274 1027.1 999.0  12.9 999.0 99.0 99.00
2010 01 01 20 50 288  0.3  1.0  1.93 12.12  8.65 285 1026.1 999.0  13.0 999.0 99.0 99.00
2010 01 01 21 50 105  1.9  2.6  2.17 11.43  8.85 277 1024.6 999.0  13.2 999.0 99.0 99.00
2010 01 01 22 50  60  3.2  4.3  2.18 10.00  8.73 276 1024.7 999.0  13.3 999.0 99.0 99.00
2010 01 01 23 50 177  0.2  1.0  2.01 10.81  8.81 275 1024.8 999.0  13.3 999.0 99.0 99.00
2010 01 02 00 50 289  3.9  5.0  2.21 12.90  9.00 279 1025.1 999.0  13.4 999.0 99.0 99.00
2010 01 02 01 50 288  2.5  3.1  2.20 12.12  9.01 274 1025.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 02 50 302  2.8  3.4  2.30 12.12  8.89 280 1025.1 999.0  13.3 999.0 99.0 99.00
2010 01 02 03 50 306  3.0  3.9  2.26 12.12  9.07 276 1025.4 999.0  13.3 999.0 99.0 99.00
2010 01 02 04 50 323  2.6  3.5  2.40 12.90  9.30 284 1025.8 999.0  13.3 999.0 99.0 99.00
2010 01 02 05 50 355  2.8  3.5  2.48 11.43  9.52 281 1025.3 999.0  13.3 999.0 99.0 99.00
2010 01 02 06 50 342  3.2  4.5  2.49 10.81  9.67 278 1024.8 999.0  13.3 999.0 99.0 99.00
2010 01 02 07 50  28  3.1  4.4  2.89 17.39 11.15 298 1024.4 999.0  13.3 999.0 99.0 99.00
2010 01 02 08 50  50  1.8  3.5  3.04 17.39 11.00 301 1024.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 09 50  16  2.6  3.2  3.59 16.00 11.62 301 1023.9 999.0  13.2 999.0 99.0 99.00
2010 01 02 10 50 334  4.7  5.9  3.86 16.00 12.05 301 1024.6 999.0  13.2 999.0 99.0 99.00
2010 01 02 11 50 340  4.3  5.3  4.02 14.81 11.96 301 1024.5 999.0  13.2 999.0 99.0 99.00
