YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 08 01 00 00 230  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  14.0 999.0 99.0 99.00
2006 08 09 16 00 330  2.6 99.0 99.00 99.00 99.00 999 9999.0  14.6  15.7 999.0 99.0 99.00
2006 08 09 17 00 310  3.6 99.0 99.00 99.00 99.00 999 9999.0  14.4  15.9 999.0 99.0 99.00
2006 08 09 18 00 300  4.6 99.0 99.00 99.00 99.00 999 9999.0  14.3  16.0 999.0 99.0 99.00
2006 08 09 19 00 290  7.2 99.0 99.00 99.00 99.00 999 9999.0  14.4  16.1 999.0 99.0 99.00
2006 08 09 20 00 290  7.2 99.0 99.00 99.00 99.00 999 9999.0  14.6  16.1 999.0 99.0 99.00
2006 08 09 21 00 290  7.7 99.0 99.00 99.00 99.00 999 9999.0  14.7  16.0 999.0 99.0 99.00
2006 08 09 22 00 290  8.8 99.0 99.00 99.00 99.00 999 9999.0  14.8  16.0 999.0 99.0 99.00
2006 08 09 23 00 280  9.3 99.0 99.00 99.00 99.00 999 9999.0  14.9  16.1 999.0 99.0 99.00
2006 08 10 00 00 280  9.3 99.0 99.00 99.00 99.00 999 9999.0  15.0  16.0 999.0 99.0 99.00
2006 08 10 01 00 270  8.8 99.0 99.00 99.00 99.00 999 9999.0  14.9  16.0 999.0 99.0 99.00
2006 08 10 02 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  14.8  15.9 999.0 99.0 99.00
2006 08 10 03 00 280  6.7 99.0 99.00 99.00 99.00 999 9999.0  14.4  15.8 999.0 99.0 99.00
2006 08 10 04 00 310  6.7 99.0 99.00 99.00 99.00 999 9999.0  14.4  15.7 999.0 99.0 99.00
2006 08 10 05 00 300  4.6 99.0 99.00 99.00 99.00 999 9999.0  14.3  15.7 999.0 99.0 99.00
2006 08 10 06 00 290  4.6 99.0 99.00 99.00 99.00 999 9999.0  14.1  15.7 999.0 99.0 99.00
2006 08 10 07 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.9  15.7 999.0 99.0 99.00
2006 08 10 08 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.8  15.7 999.0 99.0 99.00
2006 08 10 09 00 300  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.5  15.6 999.0 99.0 99.00
2006 08 10 10 00 310  5.1 99.0 99.00 99.00 99.00 999 9999.0  13.6  15.5 999.0 99.0 99.00
2006 08 10 11 00 300  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.6  15.6 999.0 99.0 99.00
2006 08 10 12 00 310  5.1 99.0 99.00 99.00 99.00 999 9999.0  13.5  15.5 999.0 99.0 99.00
2006 08 10 13 00 300  5.1 99.0 99.00 99.00 99.00 999 9999.0  13.3  15.5 999.0 99.0 99.00
2006 08 10 14 00 300  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.4  15.5 999.0 99.0 99.00
2006 08 10 15 00 310  6.2 99.0 99.00 99.00 99.00 999 9999.0  12.1  15.6 999.0 99.0 99.00
2006 08 10 16 00 300  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.2  15.8 999.0 99.0 99.00
2006 08 10 17 00 280  6.2 99.0 99.00 99.00 99.00 999 9999.0  12.4  15.8 999.0 99.0 99.00
2006 08 10 18 00 280  5.1 99.0 99.00 99.00 99.00 999 9999.0  12.9  15.8 999.0 99.0 99.00
2006 08 10 19 00 270  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.4  15.6 999.0 99.0 99.00
2006 08 10 20 00 270  6.7 99.0 99.00 99.00 99.00 999 9999.0  13.6  15.8 999.0 99.0 99.00
2006 08 10 21 00 280  7.2 99.0 99.00 99.00 99.00 999 9999.0  13.6  15.8 999.0 99.0 99.00
2006 08 10 22 00 270  7.2 99.0 99.00 99.00 99.00 999 9999.0  13.4  15.8 999.0 99.0 99.00
2006 08 10 23 00 280  7.7 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.8 999.0 99.0 99.00
2006 08 11 00 00 280  7.7 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.8 999.0 99.0 99.00
2006 08 11 01 00 280  7.2 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.8 999.0 99.0 99.00
2006 08 11 02 00 290  7.2 99.0 99.00 99.00 99.00 999 9999.0  12.9  15.7 999.0 99.0 99.00
2006 08 11 03 00 290 10.3 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.6 999.0 99.0 99.00
2006 08 11 04 00 300  8.8 99.0 99.00 99.00 99.00 999 9999.0  13.2  15.6 999.0 99.0 99.00
2006 08 11 05 00 300  6.7 99.0 99.00 99.00 99.00 999 9999.0  13.2  15.5 999.0 99.0 99.00
2006 08 11 06 00 300  6.2 99.0 99.00 99.00 99.00 999 9999.0  13.3  15.4 999.0 99.0 99.00
2006 08 11 07 00 310  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.9  15.4 999.0 99.0 99.00
2006 08 11 08 00 280  5.1 99.0 99.00 99.00 99.00 999 9999.0  12.6  15.4 999.0 99.0 99.00
2006 08 11 09 00 280  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  15.4 999.0 99.0 99.00
2006 08 11 10 00 330  3.1 99.0 99.00 99.00 99.00 999 9999.0  11.9  15.5 999.0 99.0 99.00
2006 08 11 11 00 310  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.6  15.6 999.0 99.0 99.00
2006 08 11 12 00 310  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.6  15.6 999.0 99.0 99.00
2006 08 11 13 00 300  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.5  15.6 999.0 99.0 99.00
2006 08 11 14 00 300  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.6  15.5 999.0 99.0 99.00
2006 08 11 15 00 300  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.4  15.4 999.0 99.0 99.00
2006 08 11 16 00 300  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.4  15.4 999.0 99.0 99.00
2006 08 11 17 00 310  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.4  15.3 999.0 99.0 99.00
2006 08 11 18 00 300  5.1 99.0 99.00 99.00 99.00 999 9999.0  12.6  15.2 999.0 99.0 99.00
2006 08 11 19 00 290  6.2 99.0 99.00 99.00 99.00 999 9999.0  12.8  15.2 999.0 99.0 99.00
2006 08 11 20 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.2 999.0 99.0 99.00
2006 08 11 21 00 280  7.2 99.0 99.00 99.00 99.00 999 9999.0  13.2  15.2 999.0 99.0 99.00
2006 08 11 22 00 280  7.7 99.0 99.00 99.00 99.00 999 9999.0  13.3  15.2 999.0 99.0 99.00
2006 08 11 23 00 270  7.2 99.0 99.00 99.00 99.00 999 9999.0  13.3  15.2 999.0 99.0 99.00
2006 08 12 00 00 270  7.7 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.1 999.0 99.0 99.00
2006 08 12 01 00 280  5.7 99.0 99.00 99.00 99.00 999 9999.0  13.0  15.0 999.0 99.0 99.00
2006 08 12 02 00 280  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.8  15.0 999.0 99.0 99.00
2006 08 12 03 00 270  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.7  15.1 999.0 99.0 99.00
2006 08 12 04 00 280  8.2 99.0 99.00 99.00 99.00 999 9999.0  12.8  15.0 999.0 99.0 99.00
2006 08 12 05 00 290  6.7 99.0 99.00 99.00 99.00 999 9999.0  12.7  15.0 999.0 99.0 99.00
2006 08 12 06 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.7  15.0 999.0 99.0 99.00
2006 08 12 07 00 290  5.7 99.0 99.00 99.00 99.00 999 9999.0  12.5  14.9 999.0 99.0 99.00
2006 08 12 08 00 290  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.5  14.9 999.0 99.0 99.00
2006 08 12 09 00 280  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
2006 08 12 10 00 280  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
2006 08 12 11 00 270  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
2006 08 12 12 00 250  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  14.9 999.0 99.0 99.00
2006 08 12 13 00 260  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  14.9 999.0 99.0 99.00
2006 08 12 14 00 280  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.2  14.9 999.0 99.0 99.00
2006 08 12 15 00 280  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
2006 08 12 16 00 260  1.0 99.0 99.00 99.00 99.00 999 9999.0  12.6  14.9 999.0 99.0 99.00
2006 08 12 17 00   0  0.0 99.0 99.00 99.00 99.00 999 9999.0  12.9  14.9 999.0 99.0 99.00
2006 08 12 18 00 210  1.0 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.0 999.0 99.0 99.00
2006 08 12 19 00 220  3.1 99.0 99.00 99.00 99.00 999 9999.0  13.0  15.1 999.0 99.0 99.00
2006 08 12 20 00 220  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.9  15.1 999.0 99.0 99.00
2006 08 12 21 00 230  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.9  15.2 999.0 99.0 99.00
2006 08 12 22 00 230  3.6 99.0 99.00 99.00 99.00 999 9999.0  13.0  15.1 999.0 99.0 99.00
2006 08 12 23 00 220  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.2  15.2 999.0 99.0 99.00
2006 08 13 00 00 240  5.1 99.0 99.00 99.00 99.00 999 9999.0  13.1  15.0 999.0 99.0 99.00
2006 08 13 01 00 220  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.0  14.9 999.0 99.0 99.00
2006 08 13 02 00 210  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.7  14.8 999.0 99.0 99.00
2006 08 13 03 00 250  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.6  14.7 999.0 99.0 99.00
2006 08 13 04 00 250  3.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  14.7 999.0 99.0 99.00
2006 08 13 05 00 210  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.3  14.7 999.0 99.0 99.00
2006 08 13 06 00 220  1.0 99.0 99.00 99.00 99.00 999 9999.0  12.3  14.7 999.0 99.0 99.00
2006 08 13 07 00 250  1.0 99.0 99.00 99.00 99.00 999 9999.0  12.1  14.6 999.0 99.0 99.00
2006 08 13 08 00 160  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.0  15.1 999.0 99.0 99.00
2006 08 13 09 00 190  0.5 99.0 99.00 99.00 99.00 999 9999.0  12.0  15.0 999.0 99.0 99.00
2006 08 13 10 00   0  0.0 99.0 99.00 99.00 99.00 999 9999.0  11.8  14.8 999.0 99.0 99.00
2006 08 13 11 00 190  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.9  14.8 999.0 99.0 99.00
2006 08 13 12 00 170  1.5 99.0 99.00 99.00 99.00 999 9999.0  11.7  14.8 999.0 99.0 99.00
2006 08 13 13 00 180  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.7  14.7 999.0 99.0 99.00
2006 08 13 14 00 230  2.1 99.0 99.00 99.00 99.00 999 9999.0  11.7  14.9 999.0 99.0 99.00
2006 08 13 15 00 180  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.8  14.9 999.0 99.0 99.00
2006 08 13 16 00 210  1.5 99.0 99.00 99.00 99.00 999 9999.0  11.9  14.7 999.0 99.0 99.00
2006 08 13 17 00 210  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  14.6 999.0 99.0 99.00
2006 08 13 18 00 190  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.2  14.6 999.0 99.0 99.00
2006 08 13 19 00 180  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.2  14.7 999.0 99.0 99.00
2006 08 13 20 00 200  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
