#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 300  4.6 99.0 99.00 99.00 99.00 999 1025.6  10.4  12.4 999.0 99.0 99.00
2007 01 01 01 00 300  5.7 99.0 99.00 99.00 99.00 999 1025.7  10.2  12.4 999.0 99.0 99.00
2007 01 01 02 00 300  7.2 99.0 99.00 99.00 99.00 999 1025.9  10.1  12.4 999.0 99.0 99.00
2007 01 01 03 00 310  7.7 99.0 99.00 99.00 99.00 999 1025.9   9.8  12.3 999.0 99.0 99.00
2007 01 01 04 00 320  5.7 99.0 99.00 99.00 99.00 999 1026.1   9.7  12.3 999.0 99.0 99.00
2007 01 01 05 00 320  5.7 99.0 99.00 99.00 99.00 999 1026.1   9.5  12.2 999.0 99.0 99.00
2007 01 01 06 00 330  5.1 99.0 99.00 99.00 99.00 999 1026.0   9.4  12.2 999.0 99.0 99.00
2007 01 01 07 00 340  3.6 99.0 99.00 99.00 99.00 999 1026.4   9.1  12.2 999.0 99.0 99.00
2007 01 01 08 00 360  1.5 99.0 99.00 99.00 99.00 999 1026.1   8.6  12.2 999.0 99.0 99.00
2007 01 01 09 00   0  0.0 99.0 99.00 99.00 99.00 999 1026.1   8.6  12.1 999.0 99.0 99.00
2007 01 01 10 00 340  1.0 99.0 99.00 99.00 99.00 999 1026.4   8.8  12.1 999.0 99.0 99.00
2007 01 01 11 00   0  0.0 99.0 99.00 99.00 99.00 999 1026.4   8.5  12.2 999.0 99.0 99.00
2007 01 01 12 00   0  0.0 99.0 99.00 99.00 99.00 999 1026.1   8.5  12.2 999.0 99.0 99.00
2007 01 01 13 00   0  0.0 99.0 99.00 99.00 99.00 999 1025.9   8.5  12.2 999.0 99.0 99.00
2007 01 01 14 00   0  0.0 99.0 99.00 99.00 99.00 999 1025.9   8.4  12.2 999.0 99.0 99.00
2007 01 01 15 00 120  3.6 99.0 99.00 99.00 99.00 999 1025.4   8.4  12.2 999.0 99.0 99.00
2007 01 01 16 00  90  1.5 99.0 99.00 99.00 99.00 999 1025.9   8.3  12.2 999.0 99.0 99.00
2007 01 01 17 00  70  2.1 99.0 99.00 99.00 99.00 999 1025.8   8.4  12.2 999.0 99.0 99.00
2007 01 01 18 00  50  0.5 99.0 99.00 99.00 99.00 999 1026.1   9.0  12.2 999.0 99.0 99.00
2007 01 01 19 00  80  1.0 99.0 99.00 99.00 99.00 999 1025.8   8.8  12.3 999.0 99.0 99.00
2007 01 01 20 00  80  0.5 99.0 99.00 99.00 99.00 999 1024.4   9.2  12.4 999.0 99.0 99.00
2007 01 01 21 00 130  1.0 99.0 99.00 99.00 99.00 999 1023.4   9.2  12.4 999.0 99.0 99.00
2007 01 01 22 00 250  1.0 99.0 99.00 99.00 99.00 999 1023.0  10.1  12.5 999.0 99.0 99.00
