"","seaotter","rayAIC","gammaAIC","weibullAIC","cauchyAIC","rayAIC.1","gammaAIC.1","weibullAIC.1","cauchyAIC.1","AIC_difference"
"1","209",383.40554500237,686.573104610944,348.944485901388,361.802467521272,3,4,1,2,-12.8579816198847
"2","225",312.939785765651,2231.27978359218,300.659421981555,310.052411593651,3,4,1,2,-9.39298961209579
"3","228",219.269369293982,1125.40726958202,178.545800964843,182.425066656371,3,4,1,2,-3.87926569152776
"4","238",557.873395603298,940.157283464166,384.09849063641,406.884496032435,3,4,1,2,-22.786005396025
"5","249",242.514886817315,345.735578252821,242.019474520873,249.087268371075,2,4,1,3,-0.495412296442055
"6","252",231.246458195238,338.76534056644,216.767971592504,230.962780003087,3,4,1,2,-14.194808410583
"7","269",364.862979060246,805.71684701928,325.570506433216,333.179045507297,3,4,1,2,-7.60853907408085
"8","286",419.690627749822,646.269182362996,346.18838398235,350.196319929366,3,4,1,2,-4.00793594701616
"9","315",230.181903645619,472.630163162441,230.54408765288,237.979605082974,1,4,2,3,0.362184007261163
"10","327",476.259674254979,1570.8755192716,409.801734909829,430.531713596973,3,4,1,2,-20.7299786871437
"11","339",240.423805772434,273.335345494921,223.226772686069,236.136596760458,3,4,1,2,-12.9098240743891
"12","344",478.246028886968,549.831736311463,431.015946109446,444.346172283036,3,4,1,2,-13.3302261735897
"13","353",470.610715638543,1618.50263391997,326.842327654772,344.561830370383,3,4,1,2,-17.719502715611
"14","386",269.276032481667,314.8187408217,265.671156255936,279.32621011286,2,4,1,3,-3.60487622573112
"15","433",224.296785071205,214.135406014321,186.901227448351,182.582529198588,4,3,2,1,4.31869824976266
"16","451",194.567137179124,211.656006606912,182.333946828443,185.731052642419,3,4,1,2,-3.39710581397583
"17","457",247.435146357534,425.054406995661,218.269179004594,235.465090810406,3,4,1,2,-17.1959118058114
"18","466",169.580912168902,184.925418486801,164.987105042703,173.591169320305,2,4,1,3,-4.59380712619915
"19","473",171.698276210815,188.269879404115,145.812387488132,160.412732060314,3,4,1,2,-14.600344572182
"20","475",301.018715773827,360.418746204956,259.264646413541,280.97648257906,3,4,1,2,-21.711836165519
"21","501",193.709571279472,228.650658635939,188.08504658819,197.596426791678,2,4,1,3,-5.62452469128212
"22","518",263.446113423921,270.677768474895,264.542758227457,275.269290578738,1,3,2,4,1.09664480353655
"23","520",291.757561677102,666.687873967645,289.634234383119,300.396563222112,2,4,1,3,-2.1233272939827
"24","526",193.39131663253,283.271727100268,161.958116515589,166.451650771512,3,4,1,2,-4.49353425592341
"25","558",284.013611305182,428.091984111655,269.329943133887,286.756085944231,2,4,1,3,-14.6836681712946
"26","587",409.334770071811,655.924632338199,398.951108170014,420.399733064529,2,4,1,3,-10.3836619017965
"27","595",788.455492727732,3763.07920794508,521.580949725854,606.22027241436,3,4,1,2,-84.6393226885053
"28","621",704.590969037872,2086.98839183695,610.008617666033,639.817660971966,3,4,1,2,-29.8090433059326
"29","623",384.33958602186,600.322635642279,350.013189859099,373.275768111315,3,4,1,2,-23.2625782522168
"30","653",132.759403419707,154.408771833885,134.787170458095,130.325842818372,2,4,3,1,4.46132763972233
"31","657",198.087955352191,380.423537348913,171.181124435599,186.191563012128,3,4,1,2,-15.0104385765288
"32","671",211.54409553852,218.975706544632,158.446344699324,167.908675947148,3,4,1,2,-9.46233124782384
"33","673",724.574678075402,1394.38539225792,610.95107909024,625.752805406427,3,4,1,2,-14.8017263161863
"34","685",215.1548117358,520.885533180503,210.55628189632,219.543990321482,2,4,1,3,-4.59852983948002
"35","687",811.224898025821,1459.72371501956,715.356436715494,761.474682017667,3,4,1,2,-46.1182453021725
"36","716",1109.0256774683,2501.05477919982,985.115884594589,1032.07969890244,3,4,1,2,-46.9638143078562
"37","723",682.3734296798,1289.6263898547,624.652683893031,663.493060681727,3,4,1,2,-38.8403767886954
"38","774",423.773317417447,1797.14767189002,365.900613493251,388.907080166022,3,4,1,2,-23.0064666727712
"39","808",720.755266268179,1157.46227552154,626.76096751996,664.058167634263,3,4,1,2,-37.2972001143035
"40","809",367.507503316955,1629.08438731056,309.15306866589,328.185582199185,3,4,1,2,-19.0325135332949
