"","seaotter","rayAIC","gammaAIC","weibullAIC","cauchyAIC","rayAIC.1","gammaAIC.1","weibullAIC.1","cauchyAIC.1","AIC_difference"
"1",209,51.2943156668107,-40.2258058799721,-41.7923775210381,-21.1512582509078,4,2,1,3,-1.56657164106593
"2",225,55.5935146552972,17.3894913177385,18.0021589035105,23.4419065739525,4,1,2,3,0.612667585772062
"3",228,-5.88371125873731,-13.1110139586386,-13.0855585615259,-3.97959763044125,3,1,2,4,0.0254553971127329
"4",238,39.8871377042019,-99.8530813685317,-102.36546843432,-69.6766874369641,4,2,1,3,-2.51238706578826
"5",249,-59.0061764744178,-63.7038470827621,-64.1503324937664,-57.6850461435888,3,2,1,4,-0.446485411004318
"6",252,-27.8545973627466,-50.2544299570673,-50.339462284722,-34.2547047218722,4,2,1,3,-0.0850323276546447
"7",269,7.33416211681143,-45.4916273413399,-46.6824345180783,-36.6613365758253,4,2,1,3,-1.19080717673835
"8",286,7.97616426437412,-81.0374127404424,-84.0416557854869,-76.9489603410847,4,2,1,3,-3.00424304504446
"9",315,44.9549242705228,8.30210270263528,7.26354107817894,15.0390024779088,4,2,1,3,-1.03856162445635
"10",327,56.8609302020801,-12.2761126753441,-12.4135642125989,18.9610496716078,4,2,1,3,-0.137451537254773
"11",339,-65.4073402853302,-85.9609626246662,-85.6129534152489,-72.4054622755759,4,1,2,3,0.34800920941727
"12",344,-96.2005423668408,-131.710852440982,-131.698344222515,-119.575806753279,4,1,2,3,0.0125082184671328
"13",353,132.222166445347,-49.2810407117285,-53.5379109800927,-30.8202878754904,4,2,1,3,-4.25687026836417
"14",386,73.5742132875194,-31.7099255810117,-35.2341210621634,-22.7199911581091,4,2,1,3,-3.52419548115164
"15",433,-28.4371454685848,-66.8723888443446,-67.678643701767,-56.2642678645988,4,2,1,3,-0.806254857422374
"16",451,-45.1297257562693,-60.888989271123,-61.0079908954161,-54.5655170095039,4,2,1,3,-0.119001624293105
"17",457,-9.17918846009571,-43.0875467277966,-42.3709791897973,-20.1998726480164,4,1,2,3,0.716567537999246
"18",466,-46.5206251660921,-60.715830853472,-60.7644347333046,-53.5909432344121,4,2,1,3,-0.0486038798325552
"19",473,-31.4675439935304,-54.8853604967451,-54.7686364195621,-41.5987397579618,4,1,2,3,0.116724077182923
"20",475,64.9253534518045,-51.536598787992,-53.5350913840704,-27.4177287241658,4,2,1,3,-1.99849259607839
"21",501,-39.9764148755508,-59.1896860836028,-59.3763951798698,-48.5017360904526,4,2,1,3,-0.186709096266995
"22",518,-23.4629499391269,-92.5046509853996,-94.6588301483932,-99.8133975699512,4,3,2,1,5.15456742155796
"23",520,64.0952079500446,24.0504584292984,23.7612554050729,39.5364892737244,4,2,1,3,-0.289203024225497
"24",526,-4.04101059057186,-40.8252793319675,-41.786702082119,-36.2164985345703,4,2,1,3,-0.961422750151485
"25",558,-67.6278587438971,-72.9447404361551,-72.8860535320342,-61.1806894574307,3,1,2,4,0.0586869041208473
"26",587,135.062000130233,-10.7843561853971,-15.7928735568668,2.91717603092156,4,2,1,3,-5.00851737146968
"27",595,237.901532083596,-31.1001029136108,-27.7113782435448,75.2076078375878,4,1,2,3,3.38872467006594
"28",621,186.96802053541,70.5231046743043,71.1699025765025,119.531227216182,4,1,2,3,0.646797902198117
"29",623,-17.4524146378207,-60.443808093427,-60.7923839652683,-46.803376377206,4,2,1,3,-0.348575871841277
"30",653,-26.4018383941098,-26.0179758151394,-26.0696122878674,-23.6596915588346,1,3,2,4,0.332226106242363
"31",657,3.5208531507656,-33.5755524260888,-33.6962688359622,-19.2515035603319,4,2,1,3,-0.120716409873388
"32",671,-3.68757801161591,-66.7945555431304,-68.9389059543511,-62.3937811639325,4,2,1,3,-2.14435041122074
"33",685,6.50733294531485,-4.29714687747624,-4.22044638894414,7.43322140978971,3,1,2,4,0.0767004885320972
"34",687,154.69467070474,-48.6145137025611,-51.1915790835898,-3.35661023746613,4,2,1,3,-2.5770653810287
"35",716,204.411657840282,-38.6013378196347,-44.2378369929583,11.6727436177681,4,2,1,3,-5.63649917332358
"36",723,-16.2981029171159,-60.0469205635237,-60.0517951183193,-32.9502523914341,4,2,1,3,-0.00487455479560595
"37",774,128.007597084731,15.0315022750989,15.3476103226694,55.5158763091747,4,1,2,3,0.316108047570522
"38",808,85.0887110388453,-49.9796582189061,-51.3410934802445,-3.74566254420082,4,2,1,3,-1.36143526133839
"39",809,58.6166614760724,6.54806520101801,7.75578229227917,27.3520081245791,4,1,2,3,1.20771709126116
