"","seaotter","scale"
"1","209",1645.53821930029
"2","217",557.78320536985
"3","225",6936.48173547662
"4","228",1520.82215451298
"5","238",299.673091134692
"6","249",456.871817664797
"7","252",280.287529324451
"8","269",770.28153697888
"9","286",233.930163499645
"10","315",2256.11106832367
"11","327",806.348827989429
"12","339",261.625011714231
"13","344",257.737307571233
"14","353",165.566767875805
"15","379",441.428375699762
"16","386",452.097827478347
"17","433",75.9841778908373
"18","451",107.02201788772
"19","457",460.363057579391
"20","466",246.105919920888
"21","473",235.46798005271
"22","475",380.583671077627
"23","501",362.793872360226
"24","518",164.628968774941
"25","520",2610.67904628012
"26","526",114.086900735365
"27","558",736.031726608319
"28","587",940.707976115307
"29","595",929.014127278274
"30","621",1328.52627821651
"31","623",679.043212635479
"32","653",171.810201666036
"33","657",503.242578888418
"34","671",157.047728003446
"35","673",644.724272417974
"36","685",1881.22108715113
"37","687",893.756421008175
"38","716",874.240542307807
"39","723",1071.32424230614
"40","774",1861.53036850748
"41","808",328.760905574812
"42","809",1927.77741691915
