,X.3,X.2,X.1,X.x,seaotter,scale,sex,relyear,relmonth,relsiteATOS,relage_d,strandage_d,strandsiteATOS,rel_date_real,mean_daily_ehs_sst,condition,days_in,relyear_first,surrogate,outcome,max_relnum,sst_loess_pred,sst_loess_se,sst_loess_resid,pdo_loess_pred,pdo_loess_se,pdo_loess_resid,enso_loess_pred,enso_loess_se,enso_loess_resid,date.x,mei_rank,pdo_index,scale_loess_pred,scale_loess_se,scale_loess_resid,X.y,FoodType.x,prop_foodtype_otter_sum.x,X,FoodType.y,prop_foodtype_otter_sum.y,percentlive,date_rel,date.y,med_d_wspd,wspd_loess_pred,wspd_loess_se,wspd_loess_resid,med_d_wvht,wvht_loess_pred,wvht_loess_se,wvht_loess_resid,dens.sm,pupratio,X5yrtrend
2,2,2,2,2,217,1.206200379,m,2002,6,321,205,14,371,5/31/2002,14.98958333,0.558635648,191,2002,Toola,success,1,14.13449118,0.046338046,0.855092151,0.466757409,0.187353599,-0.816757409,49.88709446,3.838549682,7.112905538,5/31/2002,57,-0.35,2.259504602,0.496062736,-1.053304223,2,Live,0.760830223,2,Live,0.760830223,76.08302228,5/31/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.902714,0.013334,0.037542
4,4,4,4,4,228,2.053395882,m,2002,10,321,199,28,511,10/22/2002,14.46666667,0.549753043,171,2002,Toola,success,1,14.15106244,0.040897881,0.315604229,0.517396863,0.157250932,-0.097396863,49.1468697,3.247317539,9.853130303,10/22/2002,59,0.42,1.670140237,0.344631486,0.383255645,4,Live,0.830164541,4,Live,0.830164541,83.01645414,10/22/2002,10/22/2002,2.6,4.76322427,0.250216326,-2.16322427,2.875,2.303390256,0.08067896,0.571609744,9.902714,0.013334,0.037542
5,5,5,5,5,238,0.103536655,m,2003,6,321,205,14,252,5/27/2003,13.45833333,0.53727527,191,2003,Joy,success,1,14.16191451,0.039021759,-0.703581178,0.558917079,0.11805015,0.121082921,47.26756533,2.44790077,-13.26756533,5/27/2003,34,0.68,1.423355449,0.309202563,-1.319818794,NA,NA,NA,5,Live,0.460626232,46.06262319,5/27/2003,5/27/2003,7,6.910807098,0.241821752,0.089192902,1.775,2.103422959,0.084632775,-0.328422959,5.095722,0.008696,0.092451
6,6,6,6,6,249,0.1,m,2003,9,321,210,14,408,9/6/2003,16.86041667,0.591634922,196,2003,Toola,success,1,14.16259038,0.039630901,2.69782629,0.559018584,0.110501861,-0.549018584,46.48609311,2.279745341,-1.486093111,9/6/2003,45,0.01,1.202515603,0.296836568,-1.102515603,5,Live,0.534765005,6,Live,0.534765005,53.47650055,9/6/2003,9/6/2003,2.1,5.52960557,0.241485199,-3.42960557,1.01,1.609740056,0.084047257,-0.599740056,5.095722,0.008696,0.092451
7,7,7,7,7,252,0.036022513,m,2003,10,321,233,21,617,10/14/2003,13.34375,0.586964476,212,2003,Joy,success,1,14.16260626,0.039917048,-0.818856258,0.557306771,0.108786595,0.272693229,46.21980807,2.23882908,2.780191926,10/14/2003,49,0.83,1.006292213,0.298611589,-0.970269699,6,Live,0.646843044,7,Live,0.646843044,64.68430436,10/14/2003,10/14/2003,8,5.600166827,0.24371272,2.399833173,2.56,1.992480645,0.085376359,0.567519355,5.095722,0.008696,0.092451
8,8,8,8,8,269,0.785553299,m,2004,3,321,205,70,807,3/2/2004,12.90625,0.557805256,135,2004,Joy,success,1,14.15894175,0.041081392,-1.252691748,0.532693493,0.105023934,0.077306507,44.84944467,2.132901888,-11.84944467,3/2/2004,33,0.61,0.836389083,0.305756942,-0.050835784,7,Live,0.606230704,8,Live,0.606230704,60.62307045,3/2/2004,3/2/2004,8.9,6.46271679,0.243950121,2.43728321,3.485,2.52829722,0.081765103,0.95670278,3.099032,0.009615,0.087651
9,9,9,9,9,286,0.279541026,f,2004,10,321,200,21,821,10/5/2004,14.18333333,0.548580943,179,2004,Joy,success,1,14.13527865,0.042583366,0.04805468,0.452154822,0.107543071,-0.562154822,42.62019864,2.154145727,4.37980136,10/5/2004,47,-0.11,0.693098866,0.314354822,-0.41355784,8,Live,0.423959871,9,Live,0.423959871,42.39598715,10/5/2004,10/5/2004,8,5.269669269,0.253732957,2.730330731,1.075,1.937676881,0.080757643,-0.862676881,3.099032,0.009615,0.087651
10,10,10,10,10,315,1.391713791,m,2005,6,321,187,3,916,6/20/2005,14.775,0.562131817,184,2005,Joy,success,2,14.09859995,0.044612231,0.676400045,0.297655416,0.112810838,0.872344584,40.03934739,2.263371164,6.960652606,6/20/2005,47,1.17,0.576714216,0.322105506,0.814999574,9,Live,0.309737807,10,Live,0.309737807,30.9737807,6/20/2005,6/20/2005,4,5.781736206,0.241741316,-1.781736206,1.48,1.7342536,0.083395185,-0.2542536,6.389702,0.041958,0.119999
11,11,11,11,11,327,1.334116464,f,2005,10,321,210,3,812,10/17/2005,13.67083333,0.547690003,207,2005,Toola,success,3,14.05132546,0.044720507,-0.380492123,0.193160737,0.114612426,-1.513160737,38.52822085,2.300049197,-9.528220849,10/17/2005,29,-1.32,0.487527785,0.326937503,0.846588679,10,Live,0.557462726,11,Live,0.557462726,55.74627264,10/17/2005,10/17/2005,3.05,5.283663793,0.254287292,-2.233663793,2.395,2.03605262,0.078812106,0.35894738,6.389702,0.041958,0.119999
12,12,12,12,12,339,0.335212463,f,2006,4,321,210,28,291,4/25/2006,13.92291667,0.541353627,182,2006,Joy,success,3,13.88581451,0.043574587,0.037102154,0.019132024,0.115708174,0.380867976,36.49966274,2.339743776,-19.49966274,4/25/2006,17,0.4,0.450219252,0.321756388,-0.115006789,11,Live,0.215207673,12,Live,0.215207673,21.52076731,4/25/2006,4/25/2006,4.65,6.685988924,0.254073666,-2.035988924,1,2.369497058,0.084166158,-1.369497058,12.23961,0.045,0.085478
13,13,13,13,13,344,0.01,m,2006,6,321,218,28,273,6/19/2006,15,0.59550622,190,2006,Rosa,success,1,13.83580449,0.044064775,1.164195506,-0.063398275,0.116588637,1.103398275,35.81494866,2.338831948,10.18505134,6/19/2006,46,1.04,0.470471574,0.314009622,-0.460471574,12,Live,0.263521933,13,Live,0.263521933,26.35219326,6/19/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.23961,0.045,0.085478
14,14,14,14,14,353,0.750435325,f,2006,10,321,223,42,806,10/7/2006,15.59791667,0.557431214,181,2006,Toola,success,1,13.76233334,0.0449815,1.835583331,-0.22174169,0.120405945,0.17174169,34.29337233,2.363149692,21.70662767,10/7/2006,56,-0.05,0.520082323,0.319041848,0.230353002,13,Live,0.289241273,14,Live,0.289241273,28.92412726,10/7/2006,10/7/2006,5.3,4.841664072,0.241100608,0.458335928,1.805,1.923587384,0.082167067,-0.118587384,12.23961,0.045,0.085478
15,15,15,15,15,379,0.246112716,f,2007,8,321,250,14,380,8/13/2007,15.55104167,0.578175085,236,2007,Rosa,success,2,13.60871802,0.044212325,1.942323643,-0.47220887,0.119094845,0.97220887,31.47527319,2.411728753,-13.47527319,8/13/2007,18,0.5,0.570849071,0.335340016,-0.324736355,14,Live,0.497675107,15,Live,0.497675107,49.76751074,8/13/2007,8/13/2007,7.45,5.845120985,0.251297785,1.604879015,0.98,1.596471332,0.080807306,-0.616471332,17.57411,0.044674,0.085235
16,16,16,16,16,386,0.826183327,m,2007,10,321,267,21,289,10/26/2007,13.83333333,0.582010158,246,2007,Rosa,success,1,13.57975408,0.04491746,0.253579251,-0.515196201,0.120556683,-0.934803799,31.15629873,2.393813599,-22.15629873,10/26/2007,9,-1.45,0.594569388,0.345489093,0.231613938,15,Live,0.609140482,16,Live,0.609140482,60.91404821,10/26/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.57411,0.044674,0.085235
