"","seaotter","scale","sex","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","mean_daily_ehs_sst","condition","days_in","relyear_first","surrogate","max_relnum","sst_loess_pred","pdo_loess_pred","enso_loess_pred","date","mei_rank","pdo_index","percentlive.y"
"1","209",1.64791086137983,"m",2002,2,383,205,14,754,"2002-02-13",11.76875,0.520810346984524,191,2002,"Joy",1,14.1179124607127,0.400428917723892,50.5705475395803,2002-02-13,34,-0.64,59.5525207031817
"2","217",1.20620037883309,"m",2002,6,321,205,14,371,"2002-05-31",14.9895833333333,0.558635647827882,191,2002,"Toola",1,14.1344911821126,0.466757409066797,49.8870944624383,2002-05-31,57,-0.35,76.0830222825472
"3","225",6.0082119144665,"m",2002,8,383,203,14,405,"2002-08-15",15.7333333333333,0.558635647827882,189,2002,"Toola",3,14.1441444956051,0.494526587377888,49.5300168120956,2002-08-15,58,0.6,75
"4","228",2.05339588178139,"m",2002,10,321,199,28,511,"2002-10-22",14.4666666666667,0.549753042510882,171,2002,"Toola",1,14.1510624378115,0.517396862510624,49.1468696971189,2002-10-22,59,0.42,83.0164541365263
"5","238",0.103536654878724,"m",2003,6,321,205,14,252,"2003-05-27",13.4583333333333,0.537275270106802,191,2003,"Joy",1,14.1619145113729,0.558917079111089,47.2675653285545,2003-05-27,34,0.68,46.0626231944938
"6","249",0.1,"m",2003,9,321,210,14,408,"2003-09-06",16.8604166666667,0.591634921841402,196,2003,"Toola",1,14.1625903761733,0.559018583615948,46.4860931114925,2003-09-06,45,0.01,53.4765005459429
"7","252",0.036022513133644,"m",2003,10,321,233,21,617,"2003-10-14",13.34375,0.586964475990753,212,2003,"Joy",1,14.1626062584748,0.557306771357771,46.2198080738807,2003-10-14,49,0.83,64.6843043629731
"8","269",0.785553298675384,"m",2004,3,321,205,70,807,"2004-03-02",12.90625,0.55780525583715,135,2004,"Joy",1,14.1589417484751,0.532693493121556,44.8494446669474,2004-03-02,33,0.61,60.6230704462532
"9","286",0.279541025803001,"f",2004,10,321,200,21,821,"2004-10-05",14.1833333333333,0.548580942964705,179,2004,"Joy",1,14.1352786530035,0.452154822394817,42.6201986399983,2004-10-05,47,-0.11,42.3959871473684
"10","315",1.39171379069221,"m",2005,6,321,187,3,916,"2005-06-20",14.775,0.562131817442751,184,2005,"Joy",2,14.0985999546386,0.297655415691946,40.0393473935222,2005-06-20,47,1.17,30.9737806984561
